{{1.*^-8, -0.0028818850872500794}}
{{0.01000001, -0.0037876158486372345}}
{{0.020000010000000002, -0.004690319005763773}}
{{0.03000001, -0.00558999455862972}}
{{0.04000001, -0.006486642507235074}}
{{0.050000010000000004, -0.007380262851579831}}
{{0.06000001, -0.008270855591664017}}
{{0.07000001, -0.009158420727487607}}
{{0.08000001, -0.010042958259050607}}
{{0.09000000999999999, -0.010924468186352999}}
{{0.10000001, -0.011802950509394821}}
{{0.11000001, -0.012678405228176065}}
{{0.12000000999999999, -0.013550832342696714}}
{{0.13000001, -0.014420231852956768}}
{{0.14000001, -0.015286603758956237}}
{{0.15000001, -0.01614994806069512}}
{{0.16000001, -0.01701026475817341}}
{{0.17000001, -0.017867553851391108}}
{{0.18000001, -0.018721815340348218}}
{{0.19000001, -0.019573049225044742}}
{{0.20000001, -0.02042125550548067}}
{{0.21000001, -0.021266434181656017}}
{{0.22000001, -0.022108585253570772}}
{{0.23000001, -0.02294770872122494}}
{{0.24000000999999999, -0.023783804584618505}}
{{0.25000001, -0.024616872843751494}}
{{0.26000001, -0.025446913498623897}}
{{0.27000001, -0.02627392654923571}}
{{0.28000001, -0.02709791199558692}}
{{0.29000001, -0.027918869837677558}}
{{0.30000001, -0.0287368000755076}}
{{0.31000001, -0.029551702709077053}}
{{0.32000001, -0.03036357773838591}}
{{0.33000001, -0.031172425163434197}}
{{0.34000001, -0.03197824498422188}}
{{0.35000001000000003, -0.03278103720074898}}
{{0.36000001, -0.03358080181301548}}
{{0.37000001, -0.034377538821021396}}
{{0.38000001, -0.035171248224766735}}
{{0.39000001, -0.03596193002425147}}
{{0.40000001, -0.03674958421947563}}
{{0.41000001, -0.037534210810439186}}
{{0.42000001, -0.03831580979714217}}
{{0.43000001, -0.03909438117958456}}
{{0.44000001, -0.03986992495776636}}
{{0.45000001, -0.040642441131687565}}
{{0.46000001, -0.04141192970134819}}
{{0.47000001, -0.04217839066674821}}
{{0.48000001, -0.042941824027887654}}
{{0.49000001, -0.0437022297847665}}
{{0.50000001, -0.04445960793738477}}
{{0.5100000100000001, -0.045213958485742445}}
{{0.5200000100000001, -0.04596528142983952}}
{{0.5300000100000001, -0.04671357676967602}}
{{0.5400000100000001, -0.047458844505251924}}
{{0.5500000100000001, -0.04820108463656724}}
{{0.5600000100000001, -0.04894029716362197}}
{{0.5700000100000001, -0.04967648208641611}}
{{0.58000001, -0.050409639404949656}}
{{0.59000001, -0.05113976911922261}}
{{0.60000001, -0.05186687122923499}}
{{0.61000001, -0.05259094573498677}}
{{0.62000001, -0.05331199263647796}}
{{0.63000001, -0.05403001193370857}}
{{0.6400000100000001, -0.054745003626678584}}
{{0.6500000100000001, -0.05545696771538801}}
{{0.6600000100000001, -0.05616590419983685}}
{{0.6700000100000001, -0.0568718130800251}}
{{0.6800000100000001, -0.05757469435595276}}
{{0.6900000100000001, -0.058274548027619825}}
{{0.7000000100000001, -0.05897137409502631}}
{{0.71000001, -0.05966517255817219}}
{{0.72000001, -0.0603559434170575}}
{{0.73000001, -0.061043686671682224}}
{{0.74000001, -0.06172840232204634}}
{{0.75000001, -0.06241009036814989}}
{{0.7600000100000001, -0.06308875080999282}}
