"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels","Alpha",
"1529.802 3","A  D F   JK","2-","0.27 ps +6-4","237.11 3 ,    295.9387 17 ,    443.9606 16 ,    488.6792 20 ,    566.438 6 ,    719.36 14 ,   1408.013 3","0.0303 9 ,       2.110 19 ,      13.54 4 ,       1.985 13 ,       0.628 15 ,       0.455 15 ,     100.00 17","[E1], E1, E1+M2, M1+E2, M1+E2, (E1), E1+M2","1292.773,    1233.863,    1085.841,    1041.122,     963.358,     810.453,     121.7818","2+, 3+, 2+, 3-, 1-, 2+, 2+","",
"1559.62 3","BC  F   JK","5+","","325.69 6 ,    852.67 7 ,   1193.10 5","4.71 26 ,      35.1 13 ,     100 3","(E2), M1+E2, M1+E2","1233.863,     706.928,     366.4793","3+, 6+, 4+","",
"1579.429 11","B D FG  JKL N","3-","72 fs 6","207.64 11 ,    286.50 11 ,    345.54 3 ,    493.54 4 ,    538.29 6 ,    556.48 10 ,    616.05 5 ,    768.96 4 ,   1212.948 11 ,   1457.643 11","0.519 19 ,       0.098 21 ,       0.69 4 ,       2.14 10 ,       0.306 21 ,       1.25 5 ,       0.65 4 ,       5.8 3 ,     100.0 4 ,      35.13 26","[E1], [E1], [E1], [E1], [M1,E2], [E1], [E2], [E1], E1, E1","1371.735,    1292.773,    1233.863,    1085.841,    1041.122,    1022.970,     963.358,     810.453,     366.4793,     121.7818","4+, 2+, 3+, 2+, 3-, 4+, 1-, 2+, 4+, 2+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"1609.26 4","F    K           W","10+","1.38 ps 13","483.86 3","100","E2","1125.39","8+","",
"1612.90 4","D  GH JKL N","4+","","241?,    320.10 5 ,    379.05 17 ,    391.19 7 ,    527.1?,    571.83 8 ,    589.83 17 ,    802.0 5 ,    906.06 10 ,   1246.34 16 ,   1491.4 8","<4.1,      21.4 11 ,       2.6 6 ,      15.4 5 ,      <2.0,      48.4 18 ,      14.2 9 ,       4.5 5 ,     100 5 ,      10.1 15 ,       6 3",", , , , , , , , , ,","1371.735,    1292.773,    1233.863,    1221.64,    1085.841,    1041.122,    1022.970,     810.453,     706.928,     366.4793,     121.7818","4+, 2+, 3+, 5-, 2+, 3-, 4+, 2+, 6+, 4+, 2+","",
"1649.831 7","A  D  G  JK","2-","164 ps +33-24","357.26 5 ,    416.02 3 ,    563.986 5 ,    609.23 22 ,    686.60 5 ,    839.36 4 ,   1528.10 4","1.23 9 ,      22.0 4 ,     100.0 9 ,       0.25 3 ,       4.11 14 ,       3.59 10 ,      56.6 7","[E1], [E1], E1, [M1,E2], [M1,E2], [E1], E1","1292.773,    1233.863,    1085.841,    1041.122,     963.358,     810.453,     121.7818","2+, 3+, 2+, 3-, 1-, 2+, 2+","",
"1658.80 25","A        JK  N","0+","","695.9 3 ,    847.5 5 ,   1535.3 10","100 5 ,       2.4 6 ,       1.2 6","[E1], [E2], [E2]","963.358,     810.453,     121.7818","1-, 2+, 2+","",
"1666.45 4","F    K","8+","","160.8 2 ,    355.9 1 ,    540.9 3 ,    959.5 1","10.8 4 ,     100 3 ,      39.7 13 ,      21.9 7",", E2, E0+M1+E2, E2","1505.77,    1310.505,    1125.39,     706.928","7-, 6+, 8+, 6+","",
"1680.56 3","A   E    JKL","1-","38.1 fs 28","388.3 5 ,    594.7 4 ,    597.50 14 ,    639.14 14 ,    716.84 21 ,    870.14 5 ,    995.84 5 ,   1558.74 6 ,   1680.62 10","0.13 5 ,       0.38 11 ,       0.77 11 ,       0.57 11 ,       1.33 21 ,     100.0 24 ,      73 3 ,       9.0 3 ,       6.2 3","[E1], [E1], [E1], [E2], [M1,E2], [E1], [E1], [E1], [E1]","1292.773,    1085.841,    1082.842,    1041.122,     963.358,     810.453,     684.751,     121.7818,       0.0","2+, 2+, 0+, 3-, 1-, 2+, 0+, 2+, 0+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"1682.07 12","D F   JK","4-","> 596 fs","1315.49 5","100","","366.4793","4+","",
"1728.27 3","F   JKL","6+","","222.89 13 ,    356.56 5 ,    506.60 5 ,   1021.41 4 ,   1361.7 6","1.15 10 ,       8.0 3 ,       6.91 25 ,     100 3 ,      20.6 7",", , , M1+E2,","1505.77,    1371.735,    1221.64,     706.928,     366.4793","7-, 4+, 5-, 6+, 4+","",
"1730.205 19","B D     JKL","3-","82 fs +11-9","358.48 7 ,    496.56 24 ,    644.39 6 ,    707.15 7 ,    766.84 3 ,    919.74 4 ,   1363.78 5 ,   1608.36 8","6.4 5 ,      23 8 ,      26.5 19 ,       5.50 21 ,       2.7 3 ,      25.1 15 ,     100.0 23 ,      20.9 8","[E1], [E1], [E1], [E1], [E2], [E1], (E1), E1","1371.735,    1233.863,    1085.841,    1022.970,     963.358,     810.453,     366.4793,     121.7818","4+, 3+, 2+, 4+, 1-, 2+, 4+, 2+","",
"1736","N","0+","","","","","","","",
"1754.98 4","JK M","0+","> 277 fs","462.16 6 ,    791.67 7 ,    944.8 10",",     100 5 ,       6.3 20",", ,","1292.773,     963.358,     810.453","2+, 1-, 2+","",
"1757.001 14","B D FG  JKLM","4+","","385.61 21 ,    464.28 14 ,    523.13 5 ,    671.155 14 ,    734.12 12 ,    946.5,   1050.1 6 ,   1390.50 12 ,   1635.38 20","22.7 10 ,       1.8 7 ,      62.5 26 ,     100 18 ,       3.7 6 ,       4.5 8 ,       2.9 12 ,      17.4 7 ,       0.66 18",", , , , , , , ,","1371.735,    1292.773,    1233.863,    1085.841,    1022.970,     810.453,     706.928,     366.4793,     121.7818","4+, 2+, 3+, 2+, 4+, 2+, 6+, 4+, 2+","",
"1764.32 5","B   F   JKL","5-","0.08 ps +9-4","1057.36 6 ,   1397.88 7","100 6 ,      82 5","[E1], [E1]","706.928,     366.4793","6+, 4+","",
