 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron in Al.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800.00 keV   8.422E+01  8.096E-02    7.30 um     3362 A      4201 A   
 900.00 keV   7.958E+01  7.327E-02    8.52 um     3887 A      4669 A   
   1.00 MeV   7.554E+01  6.700E-02    9.80 um     4401 A      5156 A   
   1.10 MeV   7.198E+01  6.177E-02   11.15 um     4910 A      5662 A   
   1.20 MeV   6.880E+01  5.735E-02   12.56 um     5417 A      6187 A   
   1.30 MeV   6.594E+01  5.355E-02   14.04 um     5923 A      6730 A   
   1.40 MeV   6.333E+01  5.026E-02   15.58 um     6431 A      7291 A   
   1.50 MeV   6.095E+01  4.737E-02   17.19 um     6942 A      7870 A   
   1.60 MeV   5.874E+01  4.481E-02   18.85 um     7456 A      8466 A   
   1.70 MeV   5.669E+01  4.253E-02   20.58 um     7975 A      9079 A   
   1.80 MeV   5.477E+01  4.048E-02   22.36 um     8499 A      9710 A   
   2.00 MeV   5.126E+01  3.696E-02   26.12 um     1.03 um     1.10 um  
   2.25 MeV   4.704E+01  3.337E-02   31.20 um     1.28 um     1.28 um  
   2.50 MeV   4.311E+01  3.046E-02   36.73 um     1.53 um     1.47 um  
   2.75 MeV   3.995E+01  2.803E-02   42.74 um     1.79 um     1.67 um  
   3.00 MeV   3.727E+01  2.599E-02   49.20 um     2.04 um     1.89 um  
   3.25 MeV   3.501E+01  2.423E-02   56.10 um     2.30 um     2.12 um  
   3.50 MeV   3.308E+01  2.271E-02   63.42 um     2.56 um     2.37 um  
   3.75 MeV   3.142E+01  2.138E-02   71.15 um     2.82 um     2.63 um  
   4.00 MeV   2.996E+01  2.021E-02   79.28 um     3.09 um     2.90 um  
   4.50 MeV   2.752E+01  1.822E-02   96.64 um     4.03 um     3.48 um  
   5.00 MeV   2.552E+01  1.661E-02  115.45 um     4.91 um     4.10 um  
   5.50 MeV   2.384E+01  1.527E-02  135.67 um     5.76 um     4.77 um  
   6.00 MeV   2.240E+01  1.414E-02  157.24 um     6.61 um     5.47 um  
   6.50 MeV   2.115E+01  1.318E-02  180.15 um     7.46 um     6.22 um  
   7.00 MeV   2.005E+01  1.234E-02  204.37 um     8.31 um     7.00 um  
   8.00 MeV   1.819E+01  1.096E-02  256.62 um    11.30 um     8.68 um  
   9.00 MeV   1.668E+01  9.875E-03  313.90 um    14.10 um    10.51 um  
  10.00 MeV   1.543E+01  8.992E-03  376.09 um    16.82 um    12.47 um  
  11.00 MeV   1.437E+01  8.261E-03  443.09 um    19.52 um    14.57 um  
  12.00 MeV   1.346E+01  7.644E-03  514.82 um    22.24 um    16.80 um  
  13.00 MeV   1.267E+01  7.117E-03  591.19 um    24.98 um    19.17 um  
  14.00 MeV   1.198E+01  6.661E-03  672.14 um    27.75 um    21.66 um  
  15.00 MeV   1.137E+01  6.263E-03  757.61 um    30.56 um    24.27 um  
  16.00 MeV   1.083E+01  5.911E-03  847.53 um    33.41 um    27.01 um  
  17.00 MeV   1.033E+01  5.599E-03  941.86 um    36.30 um    29.87 um  
  18.00 MeV   9.891E+00  5.319E-03    1.04 mm    39.24 um    32.85 um  
  20.00 MeV   9.120E+00  4.840E-03    1.25 mm    49.87 um    39.17 um  
  22.50 MeV   8.326E+00  4.354E-03    1.54 mm    65.03 um    47.72 um  
  25.00 MeV   7.671E+00  3.960E-03    1.85 mm    79.45 um    56.98 um  
  27.50 MeV   7.121E+00  3.634E-03    2.19 mm    93.59 um    66.92 um  
  30.00 MeV   6.653E+00  3.360E-03    2.55 mm   107.67 um    77.54 um  
  32.50 MeV   6.248E+00  3.126E-03    2.94 mm   121.82 um    88.82 um  
  35.00 MeV   5.895E+00  2.924E-03    3.35 mm   136.10 um   100.74 um  
  37.50 MeV   5.584E+00  2.747E-03    3.78 mm   150.55 um   113.29 um  
  40.00 MeV   5.307E+00  2.591E-03    4.24 mm   165.19 um   126.48 um  
  45.00 MeV   4.836E+00  2.329E-03    5.23 mm   218.45 um   154.68 um  
  50.00 MeV   4.451E+00  2.117E-03    6.30 mm   268.68 um   185.28 um  
  55.00 MeV   4.128E+00  1.942E-03    7.47 mm   317.78 um   218.20 um  
  60.00 MeV   3.855E+00  1.794E-03    8.72 mm   366.57 um   253.39 um  
  65.00 MeV   3.619E+00  1.668E-03   10.05 mm   415.50 um   290.78 um  
  70.00 MeV   3.414E+00  1.560E-03   11.47 mm   464.78 um   330.33 um  
  80.00 MeV   3.074E+00  1.381E-03   14.56 mm   643.16 um   415.73 um  
  90.00 MeV   2.804E+00  1.241E-03   17.96 mm   809.47 um   509.24 um  
 100.00 MeV   2.583E+00  1.127E-03   21.67 mm   971.56 um   610.54 um  
 110.00 MeV   2.399E+00  1.033E-03   25.68 mm     1.13 mm   719.35 um  
 120.00 MeV   2.243E+00  9.542E-04   29.98 mm     1.29 mm   835.42 um  
 130.00 MeV   2.110E+00  8.869E-04   34.57 mm     1.46 mm   958.49 um  
 140.00 MeV   1.994E+00  8.288E-04   39.44 mm     1.62 mm     1.09 mm  
 150.00 MeV   1.893E+00  7.780E-04   44.58 mm     1.79 mm     1.22 mm  
 160.00 MeV   1.803E+00  7.334E-04   49.98 mm     1.95 mm     1.37 mm  
 170.00 MeV   1.723E+00  6.938E-04   55.65 mm     2.12 mm     1.52 mm  
 180.00 MeV   1.651E+00  6.584E-04   61.57 mm     2.29 mm     1.67 mm  
 200.00 MeV   1.528E+00  5.977E-04   74.14 mm     2.93 mm     2.00 mm  
 225.00 MeV   1.403E+00  5.365E-04   91.19 mm     3.82 mm     2.44 mm  
 250.00 MeV   1.302E+00  4.870E-04  109.66 mm     4.66 mm     2.91 mm  
 275.00 MeV   1.218E+00  4.461E-04  129.48 mm     5.47 mm     3.41 mm  
 300.00 MeV   1.147E+00  4.118E-04  150.60 mm     6.26 mm     3.94 mm  
 325.00 MeV   1.087E+00  3.826E-04  172.96 mm     7.05 mm     4.50 mm  
 350.00 MeV   1.035E+00  3.573E-04  196.50 mm     7.83 mm     5.08 mm  
 375.00 MeV   9.894E-01  3.353E-04  221.17 mm     8.62 mm     5.68 mm  
 400.00 MeV   9.495E-01  3.160E-04  246.93 mm     9.40 mm     6.31 mm  
 450.00 MeV   8.824E-01  2.834E-04  301.50 mm    12.23 mm     7.62 mm  
 500.00 MeV   8.284E-01  2.572E-04  359.91 mm    14.84 mm     9.00 mm  
 550.00 MeV   7.840E-01  2.355E-04  421.89 mm    17.31 mm    10.45 mm  
 600.00 MeV   7.468E-01  2.173E-04  487.16 mm    19.70 mm    11.95 mm  
 650.00 MeV   7.154E-01  2.018E-04  555.48 mm    22.03 mm    13.50 mm  
 700.00 MeV   6.884E-01  1.884E-04  626.65 mm    24.31 mm    15.10 mm  
 800.00 MeV   6.447E-01  1.665E-04  776.61 mm    32.42 mm    18.40 mm  
 900.00 MeV   6.110E-01  1.493E-04  935.79 mm    39.63 mm    21.82 mm  
   1.00 GeV   5.842E-01  1.354E-04    1.10 m     46.31 mm    25.34 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  5.5816E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
