 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Helium500Torr.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 450.00 keV   1.567E+00  8.627E-01  174.13 um    11.77 um    12.44 um  
 500.00 keV   1.625E+00  8.113E-01  194.47 um    12.81 um    13.61 um  
 550.00 keV   1.688E+00  7.666E-01  214.72 um    13.79 um    14.73 um  
 600.00 keV   1.755E+00  7.272E-01  234.79 um    14.70 um    15.82 um  
 650.00 keV   1.826E+00  6.922E-01  254.61 um    15.56 um    16.88 um  
 700.00 keV   1.900E+00  6.609E-01  274.13 um    16.35 um    17.88 um  
 800.00 keV   2.051E+00  6.071E-01  312.15 um    18.19 um    19.78 um  
 900.00 keV   2.203E+00  5.624E-01  348.75 um    19.77 um    21.53 um  
   1.00 MeV   2.352E+00  5.247E-01  383.95 um    21.14 um    23.12 um  
   1.10 MeV   2.497E+00  4.922E-01  417.82 um    22.35 um    24.60 um  
   1.20 MeV   2.636E+00  4.641E-01  450.47 um    23.43 um    25.95 um  
   1.30 MeV   2.771E+00  4.393E-01  481.99 um    24.40 um    27.21 um  
   1.40 MeV   2.904E+00  4.174E-01  512.44 um    25.28 um    28.38 um  
   1.50 MeV   3.034E+00  3.978E-01  541.91 um    26.08 um    29.46 um  
   1.60 MeV   3.165E+00  3.801E-01  570.44 um    26.81 um    30.47 um  
   1.70 MeV   3.295E+00  3.642E-01  598.08 um    27.48 um    31.42 um  
   1.80 MeV   3.425E+00  3.497E-01  624.87 um    28.09 um    32.30 um  
   2.00 MeV   3.687E+00  3.242E-01  676.04 um    29.63 um    33.91 um  
   2.25 MeV   4.015E+00  2.977E-01  735.90 um    31.45 um    35.66 um  
   2.50 MeV   4.342E+00  2.755E-01  791.70 um    32.95 um    37.17 um  
   2.75 MeV   4.666E+00  2.568E-01  843.95 um    34.22 um    38.49 um  
   3.00 MeV   4.985E+00  2.407E-01  893.09 um    35.30 um    39.65 um  
   3.25 MeV   5.298E+00  2.266E-01  939.48 um    36.23 um    40.68 um  
   3.50 MeV   5.604E+00  2.143E-01  983.46 um    37.05 um    41.60 um  
   3.75 MeV   5.903E+00  2.034E-01    1.03 mm    37.78 um    42.43 um  
   4.00 MeV   6.196E+00  1.936E-01    1.07 mm    38.42 um    43.18 um  
   4.50 MeV   6.760E+00  1.769E-01    1.14 mm    40.23 um    44.48 um  
   5.00 MeV   7.296E+00  1.631E-01    1.21 mm    41.71 um    45.58 um  
   5.50 MeV   7.805E+00  1.514E-01    1.27 mm    42.95 um    46.52 um  
   6.00 MeV   8.288E+00  1.414E-01    1.34 mm    44.02 um    47.34 um  
   6.50 MeV   8.745E+00  1.328E-01    1.39 mm    44.95 um    48.06 um  
   7.00 MeV   9.178E+00  1.253E-01    1.45 mm    45.77 um    48.70 um  
   8.00 MeV   9.977E+00  1.127E-01    1.55 mm    48.28 um    49.79 um  
   9.00 MeV   1.069E+01  1.026E-01    1.65 mm    50.34 um    50.70 um  
  10.00 MeV   1.133E+01  9.424E-02    1.74 mm    52.08 um    51.47 um  
  11.00 MeV   1.190E+01  8.726E-02    1.82 mm    53.60 um    52.13 um  
  12.00 MeV   1.242E+01  8.132E-02    1.90 mm    54.94 um    52.71 um  
  13.00 MeV   1.288E+01  7.619E-02    1.98 mm    56.15 um    53.24 um  
  14.00 MeV   1.329E+01  7.172E-02    2.06 mm    57.25 um    53.71 um  
  15.00 MeV   1.366E+01  6.778E-02    2.13 mm    58.27 um    54.14 um  
  16.00 MeV   1.400E+01  6.429E-02    2.20 mm    59.22 um    54.53 um  
  17.00 MeV   1.430E+01  6.116E-02    2.27 mm    60.12 um    54.89 um  
  18.00 MeV   1.457E+01  5.834E-02    2.34 mm    60.96 um    55.23 um  
  20.00 MeV   1.502E+01  5.347E-02    2.48 mm    63.96 um    55.85 um  
  22.50 MeV   1.547E+01  4.849E-02    2.64 mm    68.11 um    56.53 um  
  25.00 MeV   1.580E+01  4.442E-02    2.80 mm    71.83 um    57.14 um  
  27.50 MeV   1.603E+01  4.101E-02    2.96 mm    75.24 um    57.68 um  
  30.00 MeV   1.620E+01  3.813E-02    3.11 mm    78.42 um    58.19 um  
