 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Ice.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.00 MeV   5.213E+02  1.041E+02    1.82 um     1741 A      1847 A   
   1.10 MeV   5.513E+02  9.775E+01    1.97 um     1822 A      1961 A   
   1.20 MeV   5.799E+02  9.225E+01    2.12 um     1894 A      2067 A   
   1.30 MeV   6.073E+02  8.741E+01    2.26 um     1960 A      2165 A   
   1.40 MeV   6.337E+02  8.311E+01    2.40 um     2020 A      2256 A   
   1.50 MeV   6.592E+02  7.926E+01    2.54 um     2074 A      2342 A   
   1.60 MeV   6.841E+02  7.580E+01    2.67 um     2124 A      2422 A   
   1.70 MeV   7.083E+02  7.266E+01    2.80 um     2171 A      2497 A   
   1.80 MeV   7.321E+02  6.980E+01    2.92 um     2214 A      2568 A   
   2.00 MeV   7.785E+02  6.478E+01    3.16 um     2303 A      2698 A   
   2.25 MeV   8.351E+02  5.954E+01    3.45 um     2405 A      2842 A   
   2.50 MeV   8.909E+02  5.516E+01    3.72 um     2492 A      2969 A   
   2.75 MeV   9.461E+02  5.145E+01    3.97 um     2567 A      3082 A   
   3.00 MeV   1.001E+03  4.825E+01    4.21 um     2633 A      3183 A   
   3.25 MeV   1.056E+03  4.547E+01    4.45 um     2690 A      3274 A   
   3.50 MeV   1.112E+03  4.302E+01    4.67 um     2741 A      3356 A   
   3.75 MeV   1.167E+03  4.085E+01    4.88 um     2786 A      3431 A   
   4.00 MeV   1.223E+03  3.890E+01    5.08 um     2826 A      3499 A   
   4.50 MeV   1.334E+03  3.557E+01    5.46 um     2920 A      3618 A   
   5.00 MeV   1.444E+03  3.281E+01    5.81 um     2997 A      3719 A   
   5.50 MeV   1.554E+03  3.049E+01    6.13 um     3061 A      3806 A   
   6.00 MeV   1.661E+03  2.850E+01    6.43 um     3116 A      3881 A   
   6.50 MeV   1.765E+03  2.677E+01    6.72 um     3163 A      3947 A   
   7.00 MeV   1.866E+03  2.526E+01    6.99 um     3204 A      4006 A   
   8.00 MeV   2.056E+03  2.274E+01    7.49 um     3311 A      4105 A   
   9.00 MeV   2.226E+03  2.071E+01    7.96 um     3397 A      4186 A   
  10.00 MeV   2.378E+03  1.904E+01    8.38 um     3469 A      4254 A   
  11.00 MeV   2.512E+03  1.764E+01    8.79 um     3532 A      4312 A   
  12.00 MeV   2.627E+03  1.644E+01    9.18 um     3587 A      4364 A   
  13.00 MeV   2.727E+03  1.541E+01    9.55 um     3636 A      4409 A   
  14.00 MeV   2.813E+03  1.451E+01    9.91 um     3682 A      4450 A   
  15.00 MeV   2.886E+03  1.372E+01   10.25 um     3724 A      4487 A   
  16.00 MeV   2.948E+03  1.301E+01   10.59 um     3763 A      4522 A   
  17.00 MeV   3.001E+03  1.238E+01   10.93 um     3800 A      4553 A   
  18.00 MeV   3.045E+03  1.182E+01   11.26 um     3835 A      4583 A   
  20.00 MeV   3.114E+03  1.084E+01   11.90 um     3955 A      4637 A   
