 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in Ice.txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.00 MeV   5.148E+02  1.152E+02    1.79 um     1773 A      1866 A   
   1.10 MeV   5.461E+02  1.083E+02    1.94 um     1856 A      1984 A   
   1.20 MeV   5.765E+02  1.023E+02    2.09 um     1931 A      2092 A   
   1.30 MeV   6.061E+02  9.696E+01    2.23 um     1999 A      2193 A   
   1.40 MeV   6.352E+02  9.224E+01    2.37 um     2060 A      2286 A   
   1.50 MeV   6.638E+02  8.801E+01    2.50 um     2116 A      2374 A   
   1.60 MeV   6.920E+02  8.420E+01    2.63 um     2167 A      2455 A   
   1.70 MeV   7.199E+02  8.075E+01    2.76 um     2214 A      2532 A   
   1.80 MeV   7.475E+02  7.760E+01    2.88 um     2257 A      2603 A   
   2.00 MeV   8.023E+02  7.207E+01    3.11 um     2345 A      2734 A   
   2.25 MeV   8.701E+02  6.628E+01    3.38 um     2444 A      2878 A   
   2.50 MeV   9.373E+02  6.144E+01    3.64 um     2527 A      3003 A   
   2.75 MeV   1.004E+03  5.734E+01    3.88 um     2598 A      3113 A   
   3.00 MeV   1.070E+03  5.380E+01    4.11 um     2659 A      3211 A   
   3.25 MeV   1.136E+03  5.071E+01    4.32 um     2712 A      3298 A   
   3.50 MeV   1.201E+03  4.800E+01    4.53 um     2758 A      3376 A   
   3.75 MeV   1.265E+03  4.559E+01    4.72 um     2799 A      3447 A   
   4.00 MeV   1.329E+03  4.343E+01    4.90 um     2836 A      3511 A   
   4.50 MeV   1.454E+03  3.973E+01    5.25 um     2919 A      3622 A   
   5.00 MeV   1.575E+03  3.667E+01    5.57 um     2986 A      3716 A   
   5.50 MeV   1.692E+03  3.408E+01    5.87 um     3043 A      3796 A   
   6.00 MeV   1.803E+03  3.187E+01    6.15 um     3092 A      3866 A   
   6.50 MeV   1.910E+03  2.995E+01    6.41 um     3134 A      3927 A   
   7.00 MeV   2.011E+03  2.827E+01    6.66 um     3171 A      3981 A   
   8.00 MeV   2.196E+03  2.545E+01    7.13 um     3266 A      4074 A   
   9.00 MeV   2.358E+03  2.319E+01    7.57 um     3345 A      4150 A   
  10.00 MeV   2.500E+03  2.133E+01    7.97 um     3412 A      4214 A   
  11.00 MeV   2.622E+03  1.976E+01    8.36 um     3471 A      4270 A   
  12.00 MeV   2.727E+03  1.843E+01    8.73 um     3523 A      4319 A   
  13.00 MeV   2.817E+03  1.728E+01    9.09 um     3571 A      4363 A   
  14.00 MeV   2.894E+03  1.627E+01    9.44 um     3615 A      4403 A   
  15.00 MeV   2.960E+03  1.539E+01    9.78 um     3656 A      4440 A   
  16.00 MeV   3.017E+03  1.460E+01   10.11 um     3694 A      4473 A   
  17.00 MeV   3.066E+03  1.390E+01   10.43 um     3731 A      4505 A   
  18.00 MeV   3.107E+03  1.326E+01   10.76 um     3765 A      4534 A   
  20.00 MeV   3.174E+03  1.216E+01   11.39 um     3883 A      4588 A   
  22.50 MeV   3.232E+03  1.104E+01   12.17 um     4049 A      4648 A   
  25.00 MeV   3.272E+03  1.012E+01   12.93 um     4203 A      4702 A   
  27.50 MeV   3.298E+03  9.347E+00   13.69 um     4349 A      4751 A   
  30.00 MeV   3.313E+03  8.693E+00   14.45 um     4487 A      4797 A   
  32.50 MeV   3.321E+03  8.131E+00   15.20 um     4620 A      4841 A   
  35.00 MeV   3.323E+03  7.642E+00   15.95 um     4748 A      4882 A   
  37.50 MeV   3.319E+03  7.212E+00   16.70 um     4873 A      4921 A   
  40.00 MeV   3.312E+03  6.830E+00   17.45 um     4995 A      4959 A   
  45.00 MeV   3.287E+03  6.184E+00   18.96 um     5446 A      5031 A   
  50.00 MeV   3.253E+03  5.657E+00   20.49 um     5870 A      5099 A   
  55.00 MeV   3.213E+03  5.217E+00   22.03 um     6273 A      5165 A   
  60.00 MeV   3.169E+03  4.845E+00   23.60 um     6661 A      5228 A   
  65.00 MeV   3.122E+03  4.525E+00   25.18 um     7038 A      5291 A   
  70.00 MeV   3.074E+03  4.248E+00   26.80 um     7407 A      5353 A   
  80.00 MeV   2.976E+03  3.789E+00   30.10 um     8771 A      5475 A   
  90.00 MeV   2.881E+03  3.424E+00   33.51 um     1.00 um     5597 A   
 100.00 MeV   2.826E+03  3.127E+00   37.01 um     1.12 um     5720 A   
 110.00 MeV   2.776E+03  2.880E+00   40.58 um     1.23 um     5842 A   
 120.00 MeV   2.693E+03  2.671E+00   44.23 um     1.33 um     5966 A   
 130.00 MeV   2.609E+03  2.492E+00   48.00 um     1.44 um     6092 A   
 140.00 MeV   2.532E+03  2.337E+00   51.89 um     1.54 um     6222 A   
 150.00 MeV   2.462E+03  2.201E+00   55.89 um     1.64 um     6354 A   
 160.00 MeV   2.396E+03  2.081E+00   60.00 um     1.74 um     6491 A   
 170.00 MeV   2.335E+03  1.974E+00   64.23 um     1.84 um     6630 A   
 180.00 MeV   2.278E+03  1.878E+00   68.56 um     1.94 um     6774 A   
 200.00 MeV   2.175E+03  1.712E+00   77.54 um     2.32 um     7072 A   
 225.00 MeV   2.062E+03  1.545E+00   89.34 um     2.86 um     7466 A   
 250.00 MeV   1.962E+03  1.408E+00  101.76 um     3.36 um     7884 A   
 275.00 MeV   1.874E+03  1.295E+00  114.79 um     3.84 um     8325 A   
 300.00 MeV   1.794E+03  1.200E+00  128.43 um     4.29 um     8789 A   
 325.00 MeV   1.720E+03  1.118E+00  142.65 um     4.74 um     9276 A   
 350.00 MeV   1.653E+03  1.047E+00  157.47 um     5.19 um     9785 A   
 375.00 MeV   1.591E+03  9.851E-01  172.88 um     5.63 um     1.03 um  
 400.00 MeV   1.533E+03  9.305E-01  188.88 um     6.07 um     1.09 um  
 450.00 MeV   1.428E+03  8.383E-01  222.66 um     7.73 um     1.20 um  
 500.00 MeV   1.336E+03  7.635E-01  258.85 um     9.27 um     1.33 um  
 550.00 MeV   1.253E+03  7.015E-01  297.49 um    10.77 um     1.47 um  
 600.00 MeV   1.179E+03  6.492E-01  338.63 um    12.24 um     1.61 um  
 650.00 MeV   1.112E+03  6.046E-01  382.30 um    13.72 um     1.76 um  
 700.00 MeV   1.051E+03  5.659E-01  428.54 um    15.20 um     1.92 um  
 800.00 MeV   9.470E+02  5.023E-01  528.76 um    20.79 um     2.27 um  
 900.00 MeV   8.615E+02  4.521E-01  639.47 um    26.04 um     2.66 um  
   1.00 GeV   7.916E+02  4.114E-01  760.56 um    31.18 um     3.08 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0870E-02                keV / (ug/cm2) 
  1.0870E-02                MeV / (mg/cm2) 
  1.0870E+01                keV / (mg/cm2) 
  9.6069E-02                 eV / (1E15 atoms/cm2)
  6.6633E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
