 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Water_Liquid (ICRU-276).txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  9.2000E-01 g/cm3 = 9.2268E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 650.00 keV   5.650E+01  7.985E-02   10.13 um     4061 A      4789 A   
 700.00 keV   5.420E+01  7.492E-02   11.03 um     4303 A      4971 A   
 800.00 keV   5.014E+01  6.677E-02   12.94 um     5168 A      5354 A   
 900.00 keV   4.669E+01  6.031E-02   15.00 um     6019 A      5767 A   
   1.00 MeV   4.374E+01  5.504E-02   17.21 um     6867 A      6209 A   
   1.10 MeV   4.119E+01  5.067E-02   19.56 um     7718 A      6683 A   
   1.20 MeV   3.898E+01  4.698E-02   22.05 um     8575 A      7186 A   
   1.30 MeV   3.703E+01  4.381E-02   24.68 um     9439 A      7719 A   
   1.40 MeV   3.531E+01  4.107E-02   27.44 um     1.03 um     8281 A   
   1.50 MeV   3.378E+01  3.866E-02   30.33 um     1.12 um     8871 A   
   1.60 MeV   3.241E+01  3.654E-02   33.34 um     1.21 um     9488 A   
   1.70 MeV   3.117E+01  3.465E-02   36.48 um     1.30 um     1.01 um  
   1.80 MeV   3.005E+01  3.296E-02   39.74 um     1.39 um     1.08 um  
   2.00 MeV   2.809E+01  3.004E-02   46.61 um     1.72 um     1.22 um  
   2.25 MeV   2.609E+01  2.708E-02   55.83 um     2.18 um     1.41 um  
   2.50 MeV   2.446E+01  2.468E-02   65.71 um     2.61 um     1.61 um  
   2.75 MeV   2.311E+01  2.269E-02   76.21 um     3.03 um     1.82 um  
   3.00 MeV   2.200E+01  2.101E-02   87.28 um     3.44 um     2.05 um  
   3.25 MeV   2.147E+01  1.957E-02   98.76 um     3.83 um     2.28 um  
   3.50 MeV   2.093E+01  1.833E-02  110.53 um     4.20 um     2.51 um  
   3.75 MeV   2.024E+01  1.724E-02  122.66 um     4.57 um     2.75 um  
   4.00 MeV   1.952E+01  1.628E-02  135.22 um     4.93 um     3.00 um  
   4.50 MeV   1.821E+01  1.466E-02  161.71 um     6.24 um     3.50 um  
   5.00 MeV   1.704E+01  1.335E-02  190.06 um     7.47 um     4.04 um  
   5.50 MeV   1.598E+01  1.226E-02  220.32 um     8.66 um     4.60 um  
   6.00 MeV   1.502E+01  1.134E-02  252.56 um     9.84 um     5.19 um  
   6.50 MeV   1.417E+01  1.056E-02  286.78 um    11.03 um     5.81 um  
   7.00 MeV   1.341E+01  9.882E-03  323.01 um    12.22 um     6.46 um  
   8.00 MeV   1.212E+01  8.767E-03  401.39 um    16.61 um     7.85 um  
   9.00 MeV   1.107E+01  7.888E-03  487.67 um    20.73 um     9.36 um  
  10.00 MeV   1.020E+01  7.175E-03  581.72 um    24.76 um    11.00 um  
  11.00 MeV   9.467E+00  6.586E-03  683.40 um    28.76 um    12.76 um  
  12.00 MeV   8.844E+00  6.089E-03  792.58 um    32.79 um    14.63 um  
  13.00 MeV   8.305E+00  5.666E-03  909.16 um    36.85 um    16.62 um  
  14.00 MeV   7.833E+00  5.299E-03    1.03 mm    40.97 um    18.73 um  
  15.00 MeV   7.418E+00  4.979E-03    1.16 mm    45.15 um    20.95 um  
  16.00 MeV   7.048E+00  4.697E-03    1.30 mm    49.38 um    23.28 um  
  17.00 MeV   6.716E+00  4.447E-03    1.45 mm    53.68 um    25.73 um  
  18.00 MeV   6.417E+00  4.222E-03    1.60 mm    58.05 um    28.28 um  
  20.00 MeV   5.900E+00  3.838E-03    1.92 mm    74.42 um    33.71 um  
  22.50 MeV   5.368E+00  3.450E-03    2.37 mm    97.86 um    41.09 um  
  25.00 MeV   4.932E+00  3.135E-03    2.85 mm   120.07 um    49.11 um  
  27.50 MeV   4.567E+00  2.875E-03    3.38 mm   141.83 um    57.77 um  
