 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in Water_Liquid.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  9.2000E-01 g/cm3 = 9.2268E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = 2.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   2.086E+02  2.678E-01    4.21 um     2179 A      2887 A   
 800.00 keV   2.009E+02  2.392E-01    4.70 um     2309 A      2973 A   
 900.00 keV   1.928E+02  2.165E-01    5.21 um     2440 A      3058 A   
   1.00 MeV   1.848E+02  1.979E-01    5.74 um     2575 A      3144 A   
   1.10 MeV   1.771E+02  1.824E-01    6.29 um     2713 A      3231 A   
   1.20 MeV   1.699E+02  1.694E-01    6.86 um     2855 A      3321 A   
   1.30 MeV   1.631E+02  1.581E-01    7.46 um     3001 A      3413 A   
   1.40 MeV   1.569E+02  1.484E-01    8.09 um     3151 A      3508 A   
   1.50 MeV   1.511E+02  1.398E-01    8.73 um     3305 A      3607 A   
   1.60 MeV   1.456E+02  1.323E-01    9.41 um     3463 A      3709 A   
   1.70 MeV   1.406E+02  1.255E-01   10.10 um     3625 A      3815 A   
   1.80 MeV   1.359E+02  1.195E-01   10.83 um     3791 A      3924 A   
   2.00 MeV   1.275E+02  1.091E-01   12.34 um     4403 A      4156 A   
   2.25 MeV   1.184E+02  9.847E-02   14.38 um     5314 A      4470 A   
   2.50 MeV   1.106E+02  8.985E-02   16.56 um     6201 A      4810 A   
   2.75 MeV   1.038E+02  8.269E-02   18.89 um     7080 A      5178 A   
   3.00 MeV   9.792E+01  7.664E-02   21.36 um     7958 A      5573 A   
   3.25 MeV   9.271E+01  7.146E-02   23.98 um     8839 A      5995 A   
   3.50 MeV   8.809E+01  6.698E-02   26.75 um     9728 A      6443 A   
   3.75 MeV   8.395E+01  6.305E-02   29.65 um     1.06 um     6917 A   
   4.00 MeV   8.022E+01  5.957E-02   32.69 um     1.15 um     7417 A   
   4.50 MeV   7.377E+01  5.372E-02   39.19 um     1.49 um     8489 A   
   5.00 MeV   6.837E+01  4.896E-02   46.22 um     1.80 um     9657 A   
   5.50 MeV   6.378E+01  4.501E-02   53.78 um     2.11 um     1.09 um  
   6.00 MeV   5.981E+01  4.168E-02   61.87 um     2.41 um     1.23 um  
   6.50 MeV   5.721E+01  3.883E-02   70.41 um     2.71 um     1.37 um  
   7.00 MeV   5.460E+01  3.636E-02   79.35 um     3.01 um     1.52 um  
   8.00 MeV   4.929E+01  3.230E-02   98.61 um     4.08 um     1.84 um  
   9.00 MeV   4.492E+01  2.909E-02  119.84 um     5.10 um     2.19 um  
  10.00 MeV   4.133E+01  2.649E-02  143.03 um     6.09 um     2.57 um  
  11.00 MeV   3.833E+01  2.433E-02  168.13 um     7.08 um     2.98 um  
  12.00 MeV   3.577E+01  2.252E-02  195.12 um     8.08 um     3.41 um  
  13.00 MeV   3.357E+01  2.096E-02  223.95 um     9.09 um     3.88 um  
  14.00 MeV   3.164E+01  1.962E-02  254.60 um    10.11 um     4.38 um  
  15.00 MeV   2.995E+01  1.844E-02  287.06 um    11.15 um     4.90 um  
  16.00 MeV   2.844E+01  1.741E-02  321.29 um    12.20 um     5.45 um  
  17.00 MeV   2.710E+01  1.649E-02  357.28 um    13.27 um     6.02 um  
  18.00 MeV   2.588E+01  1.566E-02  395.01 um    14.35 um     6.63 um  
  20.00 MeV   2.378E+01  1.425E-02  475.57 um    18.42 um     7.91 um  
  22.50 MeV   2.162E+01  1.282E-02  585.75 um    24.25 um     9.66 um  
  25.00 MeV   1.986E+01  1.166E-02  706.32 um    29.78 um    11.56 um  
  27.50 MeV   1.838E+01  1.070E-02  837.08 um    35.19 um    13.62 um  
  30.00 MeV   1.713E+01  9.890E-03  977.89 um    40.58 um    15.83 um  
  32.50 MeV   1.605E+01  9.201E-03    1.13 mm    46.00 um    18.18 um  
  35.00 MeV   1.511E+01  8.605E-03    1.29 mm    51.47 um    20.68 um  
  37.50 MeV   1.428E+01  8.084E-03    1.46 mm    57.00 um    23.32 um  
  40.00 MeV   1.355E+01  7.626E-03    1.64 mm    62.60 um    26.10 um  
  45.00 MeV   1.230E+01  6.854E-03    2.03 mm    83.54 um    32.07 um  
  50.00 MeV   1.129E+01  6.230E-03    2.45 mm   103.23 um    38.59 um  
  55.00 MeV   1.044E+01  5.713E-03    2.91 mm   122.48 um    45.63 um  
  60.00 MeV   9.721E+00  5.279E-03    3.41 mm   141.60 um    53.19 um  
  65.00 MeV   9.105E+00  4.909E-03    3.94 mm   160.79 um    61.26 um  
  70.00 MeV   8.569E+00  4.589E-03    4.50 mm   180.12 um    69.83 um  
  80.00 MeV   7.684E+00  4.063E-03    5.74 mm   251.59 um    88.43 um  
  90.00 MeV   6.980E+00  3.650E-03    7.10 mm   318.16 um   108.92 um  
 100.00 MeV   6.407E+00  3.315E-03    8.59 mm   383.13 um   131.25 um  
 110.00 MeV   5.931E+00  3.039E-03   10.22 mm   447.76 um   155.36 um  
 120.00 MeV   5.528E+00  2.806E-03   11.96 mm   512.67 um   181.21 um  
 130.00 MeV   5.183E+00  2.608E-03   13.83 mm   578.16 um   208.76 um  
 140.00 MeV   4.884E+00  2.437E-03   15.81 mm   644.40 um   237.96 um  
 150.00 MeV   4.622E+00  2.288E-03   17.92 mm   711.48 um   268.77 um  
