 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Al.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.906E+01  1.074E-02  114.66 um     4.80 um     5.32 um  
   4.00 MeV   1.819E+01  1.015E-02  128.02 um     5.26 um     5.91 um  
   4.50 MeV   1.668E+01  9.149E-03  156.61 um     6.81 um     7.15 um  
   5.00 MeV   1.543E+01  8.339E-03  187.64 um     8.30 um     8.50 um  
   5.50 MeV   1.437E+01  7.667E-03  221.08 um     9.75 um     9.93 um  
   6.00 MeV   1.346E+01  7.100E-03  256.88 um    11.20 um    11.46 um  
   6.50 MeV   1.267E+01  6.615E-03  295.00 um    12.66 um    13.08 um  
   7.00 MeV   1.198E+01  6.195E-03  335.40 um    14.13 um    14.78 um  
   8.00 MeV   1.083E+01  5.503E-03  422.86 um    19.22 um    18.45 um  
   9.00 MeV   9.891E+00  4.957E-03  519.13 um    24.02 um    22.46 um  
  10.00 MeV   9.120E+00  4.513E-03  624.01 um    28.73 um    26.79 um  
  11.00 MeV   8.472E+00  4.146E-03  737.35 um    33.45 um    31.44 um  
  12.00 MeV   7.919E+00  3.837E-03  858.99 um    38.20 um    36.41 um  
  13.00 MeV   7.440E+00  3.572E-03  988.79 um    43.02 um    41.68 um  
  14.00 MeV   7.022E+00  3.343E-03    1.13 mm    47.91 um    47.25 um  
  15.00 MeV   6.653E+00  3.143E-03    1.27 mm    52.89 um    53.12 um  
  16.00 MeV   6.325E+00  2.967E-03    1.43 mm    57.96 um    59.27 um  
  17.00 MeV   6.031E+00  2.810E-03    1.59 mm    63.13 um    65.72 um  
  18.00 MeV   5.766E+00  2.669E-03    1.76 mm    68.38 um    72.45 um  
  20.00 MeV   5.307E+00  2.428E-03    2.12 mm    86.93 um    86.74 um  
  22.50 MeV   4.836E+00  2.185E-03    2.61 mm   113.36 um   106.13 um  
  25.00 MeV   4.451E+00  1.987E-03    3.15 mm   138.61 um   127.17 um  
  27.50 MeV   4.128E+00  1.823E-03    3.73 mm   163.47 um   149.82 um  
  30.00 MeV   3.855E+00  1.686E-03    4.35 mm   188.32 um   174.03 um  
  32.50 MeV   3.619E+00  1.568E-03    5.02 mm   213.33 um   199.76 um  
  35.00 MeV   3.414E+00  1.467E-03    5.73 mm   238.62 um   226.99 um  
  37.50 MeV   3.234E+00  1.378E-03    6.48 mm   264.23 um   255.67 um  
  40.00 MeV   3.074E+00  1.300E-03    7.27 mm   290.22 um   285.78 um  
  45.00 MeV   2.804E+00  1.168E-03    8.97 mm   382.77 um   350.19 um  
  50.00 MeV   2.583E+00  1.062E-03   10.82 mm   470.28 um   419.99 um  
  55.00 MeV   2.399E+00  9.740E-04   12.82 mm   555.89 um   494.99 um  
  60.00 MeV   2.243E+00  9.000E-04   14.97 mm   640.96 um   575.00 um  
  65.00 MeV   2.110E+00  8.369E-04   17.26 mm   726.22 um   659.85 um  
  70.00 MeV   1.994E+00  7.823E-04   19.69 mm   812.03 um   749.38 um  
  80.00 MeV   1.803E+00  6.928E-04   24.95 mm     1.12 mm   941.96 um  
  90.00 MeV   1.651E+00  6.223E-04   30.73 mm     1.40 mm     1.15 mm  
 100.00 MeV   1.528E+00  5.653E-04   37.01 mm     1.68 mm     1.38 mm  
 110.00 MeV   1.426E+00  5.181E-04   43.76 mm     1.95 mm     1.62 mm  
 120.00 MeV   1.340E+00  4.785E-04   50.98 mm     2.22 mm     1.87 mm  
 130.00 MeV   1.267E+00  4.448E-04   58.63 mm     2.49 mm     2.14 mm  
 140.00 MeV   1.203E+00  4.156E-04   66.71 mm     2.77 mm     2.42 mm  
 150.00 MeV   1.147E+00  3.902E-04   75.20 mm     3.04 mm     2.72 mm  
 160.00 MeV   1.098E+00  3.678E-04   84.09 mm     3.32 mm     3.02 mm  
 170.00 MeV   1.055E+00  3.479E-04   93.35 mm     3.59 mm     3.34 mm  
 180.00 MeV   1.016E+00  3.301E-04  102.99 mm     3.87 mm     3.67 mm  
 200.00 MeV   9.495E-01  2.997E-04  123.30 mm     4.88 mm     4.35 mm  
 225.00 MeV   8.824E-01  2.690E-04  150.56 mm     6.28 mm     5.26 mm  
 250.00 MeV   8.284E-01  2.442E-04  179.73 mm     7.58 mm     6.21 mm  
 275.00 MeV   7.840E-01  2.237E-04  210.68 mm     8.83 mm     7.21 mm  
 300.00 MeV   7.468E-01  2.065E-04  243.29 mm    10.03 mm     8.25 mm  
 325.00 MeV   7.154E-01  1.918E-04  277.41 mm    11.21 mm     9.33 mm  
 350.00 MeV   6.884E-01  1.792E-04  312.96 mm    12.37 mm    10.43 mm  
 375.00 MeV   6.651E-01  1.681E-04  349.83 mm    13.51 mm    11.56 mm  
 400.00 MeV   6.447E-01  1.584E-04  387.92 mm    14.63 mm    12.71 mm  
 450.00 MeV   6.110E-01  1.421E-04  467.44 mm    18.61 mm    15.08 mm  
 500.00 MeV   5.842E-01  1.289E-04  550.98 mm    22.20 mm    17.51 mm  
 550.00 MeV   5.625E-01  1.181E-04  638.04 mm    25.54 mm    19.98 mm  
 600.00 MeV   5.448E-01  1.089E-04  728.20 mm    28.71 mm    22.49 mm  
 650.00 MeV   5.300E-01  1.012E-04  821.09 mm    31.73 mm    25.03 mm  
 700.00 MeV   5.175E-01  9.446E-05  916.40 mm    34.64 mm    27.57 mm  
 800.00 MeV   4.980E-01  8.348E-05    1.11 m     44.70 mm    32.69 mm  
 900.00 MeV   4.835E-01  7.485E-05    1.32 m     53.44 mm    37.79 mm  
   1.00 GeV   4.725E-01  6.788E-05    1.53 m     61.33 mm    42.84 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  1.0778E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
