 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Al.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   5.477E+01  3.683E-02   11.12 um     5239 A      6461 A   
   1.00 MeV   5.126E+01  3.368E-02   13.00 um     6066 A      7356 A   
   1.10 MeV   4.788E+01  3.105E-02   15.00 um     6898 A      8303 A   
   1.20 MeV   4.453E+01  2.882E-02   17.16 um     7752 A      9311 A   
   1.30 MeV   4.178E+01  2.691E-02   19.46 um     8634 A      1.04 um  
   1.40 MeV   3.937E+01  2.525E-02   21.91 um     9542 A      1.15 um  
   1.50 MeV   3.727E+01  2.380E-02   24.51 um     1.05 um     1.27 um  
   1.60 MeV   3.543E+01  2.251E-02   27.25 um     1.14 um     1.40 um  
   1.70 MeV   3.381E+01  2.137E-02   30.12 um     1.24 um     1.53 um  
   1.80 MeV   3.239E+01  2.034E-02   33.12 um     1.34 um     1.67 um  
   2.00 MeV   2.996E+01  1.857E-02   39.51 um     1.67 um     1.96 um  
   2.25 MeV   2.752E+01  1.677E-02   48.18 um     2.14 um     2.35 um  
   2.50 MeV   2.552E+01  1.530E-02   57.56 um     2.59 um     2.78 um  
   2.75 MeV   2.384E+01  1.408E-02   67.65 um     3.03 um     3.23 um  
   3.00 MeV   2.240E+01  1.305E-02   78.41 um     3.47 um     3.72 um  
   3.25 MeV   2.115E+01  1.217E-02   89.85 um     3.91 um     4.23 um  
   3.50 MeV   2.005E+01  1.141E-02  101.93 um     4.35 um     4.76 um  
