 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in Aluminum.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   3.214E+02  3.871E-01    2.82 um     1640 A      2146 A   
   1.00 MeV   3.110E+02  3.547E-01    3.14 um     1729 A      2244 A   
   1.10 MeV   3.010E+02  3.277E-01    3.46 um     1818 A      2344 A   
   1.20 MeV   2.915E+02  3.048E-01    3.80 um     1908 A      2444 A   
   1.30 MeV   2.824E+02  2.850E-01    4.14 um     2000 A      2547 A   
   1.40 MeV   2.738E+02  2.678E-01    4.50 um     2092 A      2652 A   
   1.50 MeV   2.658E+02  2.527E-01    4.87 um     2186 A      2758 A   
   1.60 MeV   2.581E+02  2.394E-01    5.25 um     2282 A      2868 A   
   1.70 MeV   2.509E+02  2.274E-01    5.64 um     2378 A      2979 A   
   1.80 MeV   2.442E+02  2.167E-01    6.04 um     2477 A      3094 A   
   2.00 MeV   2.317E+02  1.982E-01    6.88 um     2804 A      3330 A   
   2.25 MeV   2.180E+02  1.793E-01    7.99 um     3283 A      3640 A   
   2.50 MeV   2.059E+02  1.639E-01    9.17 um     3751 A      3966 A   
   2.75 MeV   1.953E+02  1.511E-01   10.41 um     4213 A      4310 A   
   3.00 MeV   1.858E+02  1.402E-01   11.72 um     4674 A      4669 A   
   3.25 MeV   1.774E+02  1.309E-01   13.09 um     5135 A      5045 A   
   3.50 MeV   1.697E+02  1.228E-01   14.53 um     5598 A      5437 A   
   3.75 MeV   1.628E+02  1.157E-01   16.03 um     6064 A      5844 A   
   4.00 MeV   1.566E+02  1.095E-01   17.59 um     6534 A      6266 A   
   4.50 MeV   1.455E+02  9.888E-02   20.89 um     8179 A      7155 A   
   5.00 MeV   1.362E+02  9.025E-02   24.44 um     9739 A      8102 A   
   5.50 MeV   1.281E+02  8.308E-02   28.22 um     1.13 um     9104 A   
   6.00 MeV   1.211E+02  7.703E-02   32.22 um     1.28 um     1.02 um  
   6.50 MeV   1.149E+02  7.184E-02   36.45 um     1.43 um     1.13 um  
   7.00 MeV   1.087E+02  6.734E-02   40.92 um     1.58 um     1.24 um  
   8.00 MeV   9.856E+01  5.992E-02   50.56 um     2.11 um     1.49 um  
   9.00 MeV   9.057E+01  5.404E-02   61.13 um     2.62 um     1.76 um  
  10.00 MeV   8.393E+01  4.926E-02   72.58 um     3.11 um     2.06 um  
