 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in Helium500Torr.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 375.00 keV   1.210E+00  2.534E-03  514.09 um    22.69 um    30.28 um  
 400.00 keV   1.223E+00  2.400E-03  534.56 um    22.94 um    30.55 um  
 450.00 keV   1.238E+00  2.171E-03  575.05 um    23.77 um    31.04 um  
 500.00 keV   1.241E+00  1.985E-03  615.26 um    24.55 um    31.49 um  
 550.00 keV   1.235E+00  1.830E-03  655.53 um    25.30 um    31.91 um  
 600.00 keV   1.223E+00  1.699E-03  696.12 um    26.04 um    32.31 um  
 650.00 keV   1.206E+00  1.587E-03  737.19 um    26.77 um    32.69 um  
 700.00 keV   1.187E+00  1.489E-03  778.89 um    27.50 um    33.06 um  
 800.00 keV   1.142E+00  1.327E-03  864.64 um    30.21 um    33.78 um  
 900.00 keV   1.095E+00  1.199E-03  953.91 um    32.90 um    34.49 um  
   1.00 MeV   1.048E+00  1.095E-03    1.05 mm    35.58 um    35.20 um  
   1.10 MeV   1.003E+00  1.008E-03    1.14 mm    38.30 um    35.92 um  
   1.20 MeV   9.607E-01  9.344E-04    1.25 mm    41.05 um    36.66 um  
   1.30 MeV   9.207E-01  8.715E-04    1.35 mm    43.86 um    37.41 um  
   1.40 MeV   8.835E-01  8.171E-04    1.46 mm    46.72 um    38.20 um  
   1.50 MeV   8.488E-01  7.693E-04    1.58 mm    49.63 um    39.01 um  
   1.60 MeV   8.166E-01  7.272E-04    1.70 mm    52.60 um    39.86 um  
   1.70 MeV   7.866E-01  6.896E-04    1.82 mm    55.63 um    40.74 um  
   1.80 MeV   7.587E-01  6.559E-04    1.95 mm    58.71 um    41.65 um  
   2.00 MeV   7.085E-01  5.981E-04    2.23 mm    70.53 um    43.60 um  
   2.25 MeV   6.544E-01  5.393E-04    2.59 mm    87.91 um    46.27 um  
   2.50 MeV   6.083E-01  4.915E-04    2.99 mm   104.57 um    49.20 um  
   2.75 MeV   5.685E-01  4.519E-04    3.41 mm   120.96 um    52.42 um  
   3.00 MeV   5.339E-01  4.185E-04    3.87 mm   137.27 um    55.92 um  
   3.25 MeV   5.034E-01  3.899E-04    4.35 mm   153.64 um    59.70 um  
   3.50 MeV   4.764E-01  3.651E-04    4.86 mm   170.13 um    63.76 um  
   3.75 MeV   4.523E-01  3.435E-04    5.40 mm   186.80 um    68.10 um  
   4.00 MeV   4.307E-01  3.244E-04    5.96 mm   203.66 um    72.72 um  
   4.50 MeV   3.935E-01  2.922E-04    7.18 mm   267.19 um    82.79 um  
   5.00 MeV   3.625E-01  2.660E-04    8.50 mm   327.04 um    93.91 um  
   5.50 MeV   3.364E-01  2.444E-04    9.93 mm   385.47 um   106.07 um  
   6.00 MeV   3.139E-01  2.261E-04   11.47 mm   443.52 um   119.22 um  
   6.50 MeV   2.968E-01  2.105E-04   13.11 mm   501.29 um   133.29 um  
