 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H2 in Helium (gas).txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.223E-02  5.189E-02    8.65 um     3.94 um     2.83 um  
   1.10 keV   1.282E-02  4.947E-02    9.79 um     4.39 um     3.19 um  
   1.20 keV   1.339E-02  4.731E-02   10.98 um     4.85 um     3.56 um  
   1.30 keV   1.394E-02  4.535E-02   12.20 um     5.31 um     3.94 um  
   1.40 keV   1.447E-02  4.358E-02   13.46 um     5.77 um     4.33 um  
   1.50 keV   1.498E-02  4.196E-02   14.74 um     6.24 um     4.73 um  
   1.60 keV   1.547E-02  4.048E-02   16.06 um     6.71 um     5.13 um  
   1.70 keV   1.594E-02  3.911E-02   17.40 um     7.18 um     5.54 um  
   1.80 keV   1.641E-02  3.785E-02   18.77 um     7.66 um     5.96 um  
   2.00 keV   1.729E-02  3.559E-02   21.59 um     8.61 um     6.82 um  
   2.25 keV   1.834E-02  3.317E-02   25.23 um     9.80 um     7.92 um  
   2.50 keV   1.933E-02  3.110E-02   28.98 um    10.99 um     9.04 um  
   2.75 keV   2.028E-02  2.931E-02   32.84 um    12.18 um    10.18 um  
   3.00 keV   2.118E-02  2.774E-02   36.78 um    13.36 um    11.33 um  
   3.25 keV   2.204E-02  2.635E-02   40.80 um    14.53 um    12.48 um  
   3.50 keV   2.288E-02  2.511E-02   44.88 um    15.68 um    13.64 um  
   3.75 keV   2.368E-02  2.400E-02   49.01 um    16.82 um    14.80 um  
