 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He4 in Helium (gas).txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 keV   1.484E+00  4.064E-03  463.31 um    19.91 um    26.72 um  
 450.00 keV   1.537E+00  3.679E-03  496.26 um    20.56 um    27.16 um  
 500.00 keV   1.574E+00  3.365E-03  528.27 um    21.15 um    27.54 um  
 550.00 keV   1.598E+00  3.104E-03  559.68 um    21.69 um    27.90 um  
 600.00 keV   1.611E+00  2.882E-03  590.75 um    22.21 um    28.22 um  
 650.00 keV   1.615E+00  2.692E-03  621.66 um    22.70 um    28.52 um  
 700.00 keV   1.612E+00  2.527E-03  652.57 um    23.19 um    28.81 um  
 800.00 keV   1.591E+00  2.253E-03  714.87 um    24.92 um    29.35 um  
 900.00 keV   1.557E+00  2.036E-03  778.28 um    26.59 um    29.85 um  
   1.00 MeV   1.516E+00  1.859E-03  843.25 um    28.23 um    30.34 um  
   1.10 MeV   1.471E+00  1.713E-03  910.12 um    29.87 um    30.82 um  
   1.20 MeV   1.425E+00  1.588E-03  979.09 um    31.51 um    31.29 um  
   1.30 MeV   1.379E+00  1.482E-03    1.05 mm    33.18 um    31.77 um  
   1.40 MeV   1.334E+00  1.389E-03    1.12 mm    34.86 um    32.24 um  
   1.50 MeV   1.291E+00  1.308E-03    1.20 mm    36.58 um    32.73 um  
   1.60 MeV   1.250E+00  1.237E-03    1.28 mm    38.32 um    33.22 um  
   1.70 MeV   1.211E+00  1.173E-03    1.36 mm    40.09 um    33.73 um  
   1.80 MeV   1.173E+00  1.116E-03    1.44 mm    41.90 um    34.24 um  
   2.00 MeV   1.104E+00  1.018E-03    1.62 mm    48.88 um    35.32 um  
   2.25 MeV   1.028E+00  9.181E-04    1.85 mm    59.26 um    36.76 um  
   2.50 MeV   9.615E-01  8.370E-04    2.10 mm    69.30 um    38.31 um  
   2.75 MeV   9.031E-01  7.697E-04    2.37 mm    79.19 um    39.98 um  
   3.00 MeV   8.515E-01  7.129E-04    2.66 mm    89.06 um    41.79 um  
   3.25 MeV   8.056E-01  6.643E-04    2.96 mm    98.95 um    43.73 um  
   3.50 MeV   7.647E-01  6.223E-04    3.28 mm   108.93 um    45.81 um  
   3.75 MeV   7.279E-01  5.854E-04    3.61 mm   119.00 um    48.03 um  
   4.00 MeV   6.946E-01  5.529E-04    3.96 mm   129.19 um    50.40 um  
   4.50 MeV   6.369E-01  4.981E-04    4.72 mm   167.71 um    55.56 um  
   5.00 MeV   5.885E-01  4.537E-04    5.53 mm   204.04 um    61.30 um  
   5.50 MeV   5.474E-01  4.168E-04    6.41 mm   239.49 um    67.59 um  
   6.00 MeV   5.120E-01  3.858E-04    7.36 mm   274.66 um    74.43 um  
   6.50 MeV   4.811E-01  3.592E-04    8.36 mm   309.88 um    81.81 um  
   7.00 MeV   4.540E-01  3.362E-04    9.43 mm   345.34 um    89.72 um  
   8.00 MeV   4.084E-01  2.984E-04   11.75 mm   477.52 um   107.05 um  
   9.00 MeV   3.750E-01  2.686E-04   14.31 mm   599.78 um   126.27 um  
  10.00 MeV   3.437E-01  2.444E-04   17.09 mm   718.62 um   147.29 um  
  11.00 MeV   3.187E-01  2.244E-04   20.11 mm   837.15 um   170.11 um  
  12.00 MeV   2.974E-01  2.075E-04   23.36 mm   956.07 um   194.65 um  
  13.00 MeV   2.789E-01  1.931E-04   26.83 mm     1.08 mm   220.86 um  
  14.00 MeV   2.628E-01  1.806E-04   30.52 mm     1.20 mm   248.71 um  
  15.00 MeV   2.486E-01  1.698E-04   34.43 mm     1.32 mm   278.16 um  
  16.00 MeV   2.360E-01  1.602E-04   38.56 mm     1.45 mm   309.20 um  
  17.00 MeV   2.247E-01  1.516E-04   42.90 mm     1.57 mm   341.79 um  
  18.00 MeV   2.145E-01  1.440E-04   47.45 mm     1.70 mm   375.92 um  
  20.00 MeV   1.968E-01  1.310E-04   57.19 mm     2.19 mm   448.75 um  
  22.50 MeV   1.787E-01  1.177E-04   70.51 mm     2.89 mm   548.16 um  
  25.00 MeV   1.639E-01  1.070E-04   85.11 mm     3.56 mm   656.65 um  
  27.50 MeV   1.516E-01  9.816E-05  100.97 mm     4.21 mm   774.05 um  
  30.00 MeV   1.410E-01  9.071E-05  118.06 mm     4.86 mm   900.18 um  
