 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in Al.txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.20 MeV   1.346E+03  1.927E+02    8842 A      1259 A      1277 A   
   1.30 MeV   1.410E+03  1.829E+02    9457 A      1303 A      1340 A   
   1.40 MeV   1.472E+03  1.741E+02    1.01 um     1343 A      1400 A   
   1.50 MeV   1.533E+03  1.663E+02    1.06 um     1380 A      1455 A   
   1.60 MeV   1.593E+03  1.592E+02    1.12 um     1414 A      1507 A   
   1.70 MeV   1.652E+03  1.528E+02    1.17 um     1445 A      1557 A   
   1.80 MeV   1.710E+03  1.469E+02    1.23 um     1474 A      1603 A   
   2.00 MeV   1.822E+03  1.366E+02    1.33 um     1528 A      1688 A   
   2.25 MeV   1.954E+03  1.257E+02    1.45 um     1589 A      1783 A   
   2.50 MeV   2.079E+03  1.167E+02    1.56 um     1640 A      1867 A   
   2.75 MeV   2.197E+03  1.090E+02    1.67 um     1685 A      1942 A   
   3.00 MeV   2.309E+03  1.023E+02    1.78 um     1724 A      2010 A   
   3.25 MeV   2.414E+03  9.652E+01    1.88 um     1759 A      2072 A   
   3.50 MeV   2.514E+03  9.141E+01    1.97 um     1791 A      2128 A   
   3.75 MeV   2.608E+03  8.687E+01    2.07 um     1819 A      2180 A   
   4.00 MeV   2.698E+03  8.280E+01    2.16 um     1845 A      2228 A   
   4.50 MeV   2.864E+03  7.581E+01    2.33 um     1898 A      2314 A   
   5.00 MeV   3.014E+03  7.001E+01    2.49 um     1944 A      2390 A   
   5.50 MeV   3.151E+03  6.512E+01    2.65 um     1985 A      2457 A   
   6.00 MeV   3.276E+03  6.092E+01    2.80 um     2020 A      2518 A   
   6.50 MeV   3.391E+03  5.728E+01    2.95 um     2053 A      2573 A   
   7.00 MeV   3.497E+03  5.409E+01    3.09 um     2082 A      2623 A   
   8.00 MeV   3.685E+03  4.874E+01    3.36 um     2151 A      2714 A   
   9.00 MeV   3.847E+03  4.444E+01    3.62 um     2211 A      2792 A   
  10.00 MeV   3.988E+03  4.089E+01    3.87 um     2263 A      2862 A   
  11.00 MeV   4.110E+03  3.791E+01    4.12 um     2311 A      2925 A   
  12.00 MeV   4.216E+03  3.537E+01    4.36 um     2355 A      2982 A   
  13.00 MeV   4.310E+03  3.317E+01    4.59 um     2395 A      3035 A   
  14.00 MeV   4.392E+03  3.125E+01    4.81 um     2433 A      3085 A   
  15.00 MeV   4.465E+03  2.956E+01    5.04 um     2468 A      3131 A   
  16.00 MeV   4.529E+03  2.806E+01    5.26 um     2502 A      3174 A   
  17.00 MeV   4.586E+03  2.671E+01    5.48 um     2533 A      3215 A   
  18.00 MeV   4.637E+03  2.550E+01    5.69 um     2564 A      3254 A   
  20.00 MeV   4.724E+03  2.340E+01    6.11 um     2655 A      3326 A   
  22.50 MeV   4.813E+03  2.124E+01    6.64 um     2780 A      3409 A   
  25.00 MeV   4.886E+03  1.948E+01    7.15 um     2894 A      3486 A   
  27.50 MeV   4.950E+03  1.800E+01    7.65 um     3001 A      3556 A   
  30.00 MeV   5.007E+03  1.675E+01    8.15 um     3101 A      3623 A   
  32.50 MeV   5.058E+03  1.567E+01    8.65 um     3195 A      3685 A   
  35.00 MeV   5.105E+03  1.473E+01    9.14 um     3285 A      3745 A   
  37.50 MeV   5.147E+03  1.390E+01    9.62 um     3370 A      3801 A   
  40.00 MeV   5.185E+03  1.317E+01   10.11 um     3452 A      3855 A   
  45.00 MeV   5.249E+03  1.193E+01   11.06 um     3731 A      3957 A   
  50.00 MeV   5.298E+03  1.092E+01   12.01 um     3984 A      4053 A   
  55.00 MeV   5.334E+03  1.007E+01   12.94 um     4218 A      4143 A   
  60.00 MeV   5.357E+03  9.355E+00   13.88 um     4437 A      4229 A   
  65.00 MeV   5.371E+03  8.739E+00   14.81 um     4644 A      4311 A   
  70.00 MeV   5.375E+03  8.205E+00   15.74 um     4841 A      4390 A   
  80.00 MeV   5.361E+03  7.321E+00   17.59 um     5535 A      4541 A   
  90.00 MeV   5.325E+03  6.618E+00   19.46 um     6156 A      4685 A   
 100.00 MeV   5.274E+03  6.046E+00   21.35 um     6728 A      4824 A   
 110.00 MeV   5.170E+03  5.569E+00   23.26 um     7271 A      4960 A   
 120.00 MeV   5.064E+03  5.167E+00   25.21 um     7795 A      5094 A   
 130.00 MeV   4.970E+03  4.821E+00   27.20 um     8306 A      5227 A   
 140.00 MeV   4.874E+03  4.522E+00   29.23 um     8805 A      5360 A   
 150.00 MeV   4.778E+03  4.259E+00   31.30 um     9295 A      5493 A   
 160.00 MeV   4.682E+03  4.027E+00   33.41 um     9780 A      5626 A   
 170.00 MeV   4.588E+03  3.820E+00   35.57 um     1.03 um     5760 A   
 180.00 MeV   4.495E+03  3.635E+00   37.77 um     1.07 um     5895 A   
 200.00 MeV   4.315E+03  3.316E+00   42.31 um     1.25 um     6170 A   
 225.00 MeV   4.104E+03  2.992E+00   48.24 um     1.51 um     6522 A   
 250.00 MeV   3.909E+03  2.728E+00   54.48 um     1.75 um     6888 A   
 275.00 MeV   3.730E+03  2.509E+00   61.03 um     1.99 um     7268 A   
 300.00 MeV   3.565E+03  2.325E+00   67.88 um     2.21 um     7663 A   
 325.00 MeV   3.414E+03  2.167E+00   75.04 um     2.44 um     8074 A   
 350.00 MeV   3.276E+03  2.030E+00   82.51 um     2.66 um     8501 A   
 375.00 MeV   3.148E+03  1.910E+00   90.30 um     2.88 um     8944 A   
 400.00 MeV   3.031E+03  1.804E+00   98.38 um     3.10 um     9405 A   
 450.00 MeV   2.824E+03  1.626E+00  115.47 um     3.94 um     1.04 um  
 500.00 MeV   2.647E+03  1.481E+00  133.75 um     4.72 um     1.14 um  
 550.00 MeV   2.494E+03  1.361E+00  153.21 um     5.47 um     1.25 um  
 600.00 MeV   2.360E+03  1.260E+00  173.81 um     6.20 um     1.37 um  
 650.00 MeV   2.243E+03  1.173E+00  195.53 um     6.93 um     1.49 um  
 700.00 MeV   2.139E+03  1.098E+00  218.35 um     7.65 um     1.62 um  
 800.00 MeV   1.963E+03  9.750E-01  267.14 um    10.31 um     1.89 um  
 900.00 MeV   1.818E+03  8.777E-01  320.06 um    12.75 um     2.19 um  
   1.00 GeV   1.696E+03  7.988E-01  376.99 um    15.10 um     2.50 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  4.4418E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
