 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_in_Helium500Torr.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 375.00 keV   2.656E-01  2.515E-04    1.09 mm    48.33 um    47.16 um  
 400.00 keV   2.544E-01  2.378E-04    1.19 mm    50.44 um    48.22 um  
 450.00 keV   2.348E-01  2.146E-04    1.39 mm    58.60 um    50.55 um  
 500.00 keV   2.182E-01  1.957E-04    1.61 mm    66.88 um    53.17 um  
 550.00 keV   2.039E-01  1.800E-04    1.85 mm    75.31 um    56.12 um  
 600.00 keV   1.915E-01  1.668E-04    2.10 mm    83.91 um    59.37 um  
 650.00 keV   1.806E-01  1.555E-04    2.37 mm    92.68 um    62.95 um  
 700.00 keV   1.709E-01  1.457E-04    2.66 mm   101.63 um    66.84 um  
 800.00 keV   1.546E-01  1.295E-04    3.27 mm   134.85 um    75.57 um  
 900.00 keV   1.413E-01  1.168E-04    3.95 mm   166.46 um    85.51 um  
   1.00 MeV   1.302E-01  1.064E-04    4.68 mm   197.60 um    96.61 um  
   1.10 MeV   1.219E-01  9.777E-05    5.48 mm   228.52 um   108.79 um  
   1.20 MeV   1.136E-01  9.051E-05    6.32 mm   259.56 um   121.98 um  
   1.30 MeV   1.070E-01  8.430E-05    7.23 mm   290.98 um   136.18 um  
   1.40 MeV   1.012E-01  7.893E-05    8.19 mm   322.70 um   151.30 um  
   1.50 MeV   9.613E-02  7.423E-05    9.20 mm   354.76 um   167.32 um  
   1.60 MeV   9.155E-02  7.009E-05   10.27 mm   387.23 um   184.19 um  
   1.70 MeV   8.742E-02  6.640E-05   11.38 mm   420.12 um   201.90 um  
   1.80 MeV   8.368E-02  6.310E-05   12.55 mm   453.46 um   220.43 um  
   2.00 MeV   7.716E-02  5.744E-05   15.04 mm   577.69 um   259.90 um  
   2.25 MeV   7.041E-02  5.170E-05   18.43 mm   755.34 um   313.57 um  
   2.50 MeV   6.484E-02  4.704E-05   22.13 mm   923.58 um   371.92 um  
   2.75 MeV   6.015E-02  4.319E-05   26.13 mm     1.09 mm   434.82 um  
   3.00 MeV   5.614E-02  3.995E-05   30.42 mm     1.25 mm   502.16 um  
   3.25 MeV   5.267E-02  3.718E-05   35.02 mm     1.42 mm   573.87 um  
   3.50 MeV   4.965E-02  3.478E-05   39.90 mm     1.58 mm   649.86 um  
   3.75 MeV   4.697E-02  3.269E-05   45.07 mm     1.75 mm   730.08 um  
   4.00 MeV   4.460E-02  3.084E-05   50.53 mm     1.92 mm   814.47 um  
   4.50 MeV   4.055E-02  2.774E-05   62.28 mm     2.55 mm   995.61 um  
