 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in  Havar.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   1.771E+03  5.002E+02    3800 A      1058 A       939 A   
   1.00 MeV   1.889E+03  4.702E+02    4180 A      1120 A      1012 A   
   1.10 MeV   2.000E+03  4.441E+02    4549 A      1176 A      1080 A   
   1.20 MeV   2.104E+03  4.211E+02    4908 A      1228 A      1145 A   
   1.30 MeV   2.202E+03  4.008E+02    5259 A      1275 A      1205 A   
   1.40 MeV   2.294E+03  3.825E+02    5601 A      1319 A      1262 A   
   1.50 MeV   2.381E+03  3.661E+02    5937 A      1359 A      1316 A   
   1.60 MeV   2.464E+03  3.512E+02    6265 A      1397 A      1367 A   
   1.70 MeV   2.542E+03  3.377E+02    6588 A      1433 A      1416 A   
   1.80 MeV   2.617E+03  3.253E+02    6904 A      1466 A      1462 A   
   2.00 MeV   2.760E+03  3.033E+02    7521 A      1528 A      1549 A   
   2.25 MeV   2.927E+03  2.802E+02    8266 A      1597 A      1649 A   
   2.50 MeV   3.086E+03  2.607E+02    8982 A      1658 A      1738 A   
   2.75 MeV   3.240E+03  2.441E+02    9673 A      1713 A      1821 A   
   3.00 MeV   3.392E+03  2.297E+02    1.03 um     1761 A      1896 A   
   3.25 MeV   3.541E+03  2.171E+02    1.10 um     1805 A      1966 A   
   3.50 MeV   3.689E+03  2.060E+02    1.16 um     1844 A      2031 A   
   3.75 MeV   3.836E+03  1.960E+02    1.22 um     1880 A      2091 A   
   4.00 MeV   3.982E+03  1.871E+02    1.28 um     1913 A      2147 A   
   4.50 MeV   4.273E+03  1.717E+02    1.39 um     1973 A      2248 A   
