 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Alpha in Al.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   3.791E+02  5.132E-01    2.61 um     1563 A      2034 A   
   1.00 MeV   3.691E+02  4.704E-01    2.87 um     1630 A      2108 A   
   1.10 MeV   3.588E+02  4.345E-01    3.15 um     1698 A      2181 A   
   1.20 MeV   3.484E+02  4.041E-01    3.43 um     1766 A      2256 A   
   1.30 MeV   3.381E+02  3.780E-01    3.72 um     1835 A      2330 A   
   1.40 MeV   3.282E+02  3.552E-01    4.02 um     1905 A      2406 A   
   1.50 MeV   3.185E+02  3.352E-01    4.33 um     1977 A      2484 A   
   1.60 MeV   3.092E+02  3.175E-01    4.64 um     2049 A      2563 A   
   1.70 MeV   3.004E+02  3.017E-01    4.97 um     2124 A      2643 A   
   1.80 MeV   2.920E+02  2.875E-01    5.31 um     2200 A      2726 A   
   2.00 MeV   2.765E+02  2.629E-01    6.01 um     2458 A      2897 A   
   2.25 MeV   2.595E+02  2.379E-01    6.94 um     2841 A      3122 A   
   2.50 MeV   2.447E+02  2.175E-01    7.93 um     3221 A      3360 A   
   2.75 MeV   2.319E+02  2.005E-01    8.97 um     3599 A      3612 A   
   3.00 MeV   2.207E+02  1.861E-01   10.08 um     3978 A      3877 A   
   3.25 MeV   2.107E+02  1.737E-01   11.23 um     4357 A      4155 A   
   3.50 MeV   2.018E+02  1.630E-01   12.44 um     4739 A      4445 A   
   3.75 MeV   1.938E+02  1.536E-01   13.70 um     5123 A      4748 A   
   4.00 MeV   1.865E+02  1.453E-01   15.02 um     5510 A      5062 A   
   4.50 MeV   1.738E+02  1.313E-01   17.79 um     6872 A      5725 A   
   5.00 MeV   1.630E+02  1.198E-01   20.75 um     8161 A      6431 A   
   5.50 MeV   1.537E+02  1.103E-01   23.90 um     9413 A      7179 A   
   6.00 MeV   1.456E+02  1.023E-01   27.24 um     1.06 um     7967 A   
   6.50 MeV   1.384E+02  9.538E-02   30.75 um     1.19 um     8792 A   
   7.00 MeV   1.320E+02  8.941E-02   34.45 um     1.31 um     9655 A   
   8.00 MeV   1.211E+02  7.956E-02   42.34 um     1.74 um     1.15 um  
   9.00 MeV   1.118E+02  7.176E-02   50.92 um     2.15 um     1.35 um  
  10.00 MeV   1.032E+02  6.543E-02   60.22 um     2.54 um     1.56 um  
  11.00 MeV   9.641E+01  6.017E-02   70.23 um     2.93 um     1.78 um  
  12.00 MeV   9.057E+01  5.573E-02   80.92 um     3.33 um     2.02 um  
  13.00 MeV   8.548E+01  5.193E-02   92.26 um     3.72 um     2.28 um  
  14.00 MeV   8.100E+01  4.864E-02  104.26 um     4.12 um     2.54 um  
  15.00 MeV   7.702E+01  4.577E-02  116.91 um     4.53 um     2.82 um  
  16.00 MeV   7.345E+01  4.323E-02  130.18 um     4.93 um     3.12 um  
  17.00 MeV   7.024E+01  4.097E-02  144.09 um     5.35 um     3.42 um  
  18.00 MeV   6.733E+01  3.894E-02  158.61 um     5.76 um     3.74 um  
  20.00 MeV   6.225E+01  3.547E-02  189.46 um     7.30 um     4.41 um  
  22.50 MeV   5.699E+01  3.194E-02  231.39 um     9.49 um     5.31 um  
  25.00 MeV   5.263E+01  2.908E-02  276.99 um    11.56 um     6.28 um  
  27.50 MeV   4.896E+01  2.671E-02  326.19 um    13.59 um     7.33 um  
  30.00 MeV   4.581E+01  2.472E-02  378.92 um    15.60 um     8.44 um  
  32.50 MeV   4.309E+01  2.301E-02  435.13 um    17.62 um     9.62 um  
  35.00 MeV   4.070E+01  2.153E-02  494.76 um    19.65 um    10.87 um  
  37.50 MeV   3.859E+01  2.024E-02  557.77 um    21.70 um    12.18 um  
  40.00 MeV   3.671E+01  1.911E-02  624.12 um    23.77 um    13.56 um  
  45.00 MeV   3.350E+01  1.719E-02  766.57 um    31.40 um    16.49 um  
  50.00 MeV   3.085E+01  1.564E-02  921.95 um    38.58 um    19.68 um  
  55.00 MeV   2.864E+01  1.435E-02    1.09 mm    45.58 um    23.10 um  
  60.00 MeV   2.675E+01  1.327E-02    1.27 mm    52.53 um    26.75 um  
  65.00 MeV   2.511E+01  1.235E-02    1.46 mm    59.49 um    30.64 um  
  70.00 MeV   2.369E+01  1.155E-02    1.67 mm    66.50 um    34.74 um  
  80.00 MeV   2.132E+01  1.024E-02    2.11 mm    92.13 um    43.62 um  
  90.00 MeV   1.943E+01  9.206E-03    2.60 mm   116.01 um    53.35 um  
 100.00 MeV   1.787E+01  8.368E-03    3.14 mm   139.29 um    63.92 um  
 110.00 MeV   1.658E+01  7.676E-03    3.72 mm   162.45 um    75.29 um  
 120.00 MeV   1.547E+01  7.094E-03    4.34 mm   185.68 um    87.44 um  
 130.00 MeV   1.453E+01  6.597E-03    5.01 mm   209.13 um   100.37 um  
 140.00 MeV   1.370E+01  6.167E-03    5.72 mm   232.84 um   114.04 um  
 150.00 MeV   1.298E+01  5.793E-03    6.47 mm   256.85 um   128.45 um  
 160.00 MeV   1.234E+01  5.462E-03    7.26 mm   281.19 um   143.58 um  
 170.00 MeV   1.176E+01  5.169E-03    8.09 mm   305.86 um   159.41 um  
 180.00 MeV   1.125E+01  4.907E-03    8.96 mm   330.87 um   175.94 um  
 200.00 MeV   1.036E+01  4.458E-03   10.81 mm   424.29 um   211.02 um  
 225.00 MeV   9.456E+00  4.004E-03   13.33 mm   557.39 um   258.54 um  
 250.00 MeV   8.719E+00  3.637E-03   16.08 mm   682.85 um   309.98 um  
 275.00 MeV   8.106E+00  3.334E-03   19.05 mm   805.10 um   365.17 um  
 300.00 MeV   7.588E+00  3.079E-03   22.24 mm   926.09 um   423.97 um  
 325.00 MeV   7.144E+00  2.861E-03   25.63 mm     1.05 mm   486.24 um  
 350.00 MeV   6.759E+00  2.674E-03   29.23 mm     1.17 mm   551.84 um  
 375.00 MeV   6.423E+00  2.510E-03   33.02 mm     1.29 mm   620.66 um  
 400.00 MeV   6.125E+00  2.366E-03   37.00 mm     1.41 mm   692.58 um  
 450.00 MeV   5.624E+00  2.124E-03   45.52 mm     1.86 mm   845.37 um  
 500.00 MeV   5.217E+00  1.928E-03   54.74 mm     2.28 mm     1.01 mm  
 550.00 MeV   4.880E+00  1.766E-03   64.64 mm     2.69 mm     1.18 mm  
 600.00 MeV   4.597E+00  1.631E-03   75.19 mm     3.08 mm     1.37 mm  
 650.00 MeV   4.355E+00  1.515E-03   86.36 mm     3.48 mm     1.56 mm  
 700.00 MeV   4.146E+00  1.415E-03   98.12 mm     3.86 mm     1.76 mm  
 800.00 MeV   3.803E+00  1.251E-03  123.30 mm     5.27 mm     2.19 mm  
 900.00 MeV   3.534E+00  1.123E-03  150.56 mm     6.55 mm     2.65 mm  
   1.00 GeV   3.318E+00  1.019E-03  179.75 mm     7.77 mm     3.13 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  1.5574E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
