 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Alpha in Ice.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   2.530E+02  3.722E-01    3.95 um     1978 A      2632 A   
 800.00 keV   2.490E+02  3.324E-01    4.35 um     2073 A      2694 A   
 900.00 keV   2.429E+02  3.008E-01    4.75 um     2167 A      2752 A   
   1.00 MeV   2.357E+02  2.750E-01    5.17 um     2261 A      2810 A   
   1.10 MeV   2.278E+02  2.535E-01    5.60 um     2356 A      2866 A   
   1.20 MeV   2.199E+02  2.354E-01    6.05 um     2453 A      2923 A   
   1.30 MeV   2.120E+02  2.197E-01    6.51 um     2553 A      2980 A   
   1.40 MeV   2.043E+02  2.062E-01    6.99 um     2656 A      3038 A   
   1.50 MeV   1.969E+02  1.943E-01    7.49 um     2763 A      3098 A   
   1.60 MeV   1.900E+02  1.838E-01    8.00 um     2872 A      3159 A   
   1.70 MeV   1.834E+02  1.744E-01    8.54 um     2985 A      3222 A   
   1.80 MeV   1.772E+02  1.660E-01    9.09 um     3102 A      3287 A   
   2.00 MeV   1.659E+02  1.516E-01   10.26 um     3541 A      3424 A   
   2.25 MeV   1.538E+02  1.369E-01   11.82 um     4210 A      3608 A   
   2.50 MeV   1.434E+02  1.249E-01   13.50 um     4870 A      3808 A   
   2.75 MeV   1.345E+02  1.149E-01   15.30 um     5530 A      4025 A   
   3.00 MeV   1.267E+02  1.065E-01   17.21 um     6193 A      4260 A   
   3.25 MeV   1.200E+02  9.933E-02   19.24 um     6861 A      4512 A   
   3.50 MeV   1.140E+02  9.309E-02   21.37 um     7536 A      4781 A   
   3.75 MeV   1.086E+02  8.763E-02   23.62 um     8217 A      5067 A   
   4.00 MeV   1.039E+02  8.280E-02   25.97 um     8907 A      5370 A   
   4.50 MeV   9.558E+01  7.466E-02   30.98 um     1.15 um     6026 A   
   5.00 MeV   8.868E+01  6.805E-02   36.41 um     1.39 um     6746 A   
   5.50 MeV   8.280E+01  6.256E-02   42.24 um     1.62 um     7527 A   
   6.00 MeV   7.774E+01  5.793E-02   48.46 um     1.85 um     8368 A   
   6.50 MeV   7.331E+01  5.397E-02   55.08 um     2.09 um     9265 A   
   7.00 MeV   6.941E+01  5.055E-02   62.09 um     2.32 um     1.02 um  
   8.00 MeV   6.284E+01  4.490E-02   77.22 um     3.17 um     1.23 um  
   9.00 MeV   5.868E+01  4.044E-02   93.67 um     3.95 um     1.45 um  
  10.00 MeV   5.439E+01  3.682E-02  111.36 um     4.69 um     1.69 um  
  11.00 MeV   5.041E+01  3.382E-02  130.45 um     5.43 um     1.95 um  
  12.00 MeV   4.704E+01  3.130E-02  150.97 um     6.18 um     2.23 um  
  13.00 MeV   4.413E+01  2.914E-02  172.90 um     6.94 um     2.52 um  
  14.00 MeV   4.160E+01  2.727E-02  196.23 um     7.71 um     2.83 um  
  15.00 MeV   3.937E+01  2.564E-02  220.92 um     8.49 um     3.16 um  
  16.00 MeV   3.739E+01  2.420E-02  246.97 um     9.28 um     3.51 um  
  17.00 MeV   3.561E+01  2.292E-02  274.36 um    10.08 um     3.87 um  
  18.00 MeV   3.402E+01  2.177E-02  303.06 um    10.90 um     4.25 um  
  20.00 MeV   3.126E+01  1.981E-02  364.36 um    13.99 um     5.06 um  
  22.50 MeV   2.843E+01  1.782E-02  448.18 um    18.41 um     6.16 um  
  25.00 MeV   2.611E+01  1.621E-02  539.89 um    22.59 um     7.36 um  
  27.50 MeV   2.417E+01  1.487E-02  639.34 um    26.69 um     8.65 um  
  30.00 MeV   2.253E+01  1.375E-02  746.42 um    30.78 um    10.04 um  
  32.50 MeV   2.111E+01  1.279E-02  861.01 um    34.88 um    11.52 um  
  35.00 MeV   1.987E+01  1.196E-02  983.01 um    39.01 um    13.10 um  
  37.50 MeV   1.878E+01  1.124E-02    1.11 mm    43.20 um    14.76 um  
  40.00 MeV   1.782E+01  1.060E-02    1.25 mm    47.43 um    16.51 um  
  45.00 MeV   1.618E+01  9.528E-03    1.54 mm    63.33 um    20.27 um  
  50.00 MeV   1.485E+01  8.660E-03    1.87 mm    78.27 um    24.37 um  
  55.00 MeV   1.373E+01  7.942E-03    2.22 mm    92.85 um    28.81 um  
  60.00 MeV   1.279E+01  7.339E-03    2.59 mm   107.35 um    33.57 um  
  65.00 MeV   1.197E+01  6.824E-03    3.00 mm   121.90 um    38.66 um  
  70.00 MeV   1.127E+01  6.379E-03    3.43 mm   136.56 um    44.06 um  
  80.00 MeV   1.010E+01  5.649E-03    4.36 mm   190.92 um    55.78 um  
  90.00 MeV   9.166E+00  5.074E-03    5.40 mm   241.56 um    68.72 um  
 100.00 MeV   8.407E+00  4.609E-03    6.54 mm   291.00 um    82.82 um  
 110.00 MeV   7.776E+00  4.224E-03    7.78 mm   340.23 um    98.07 um  
 120.00 MeV   7.243E+00  3.901E-03    9.11 mm   389.69 um   114.44 um  
 130.00 MeV   6.785E+00  3.626E-03   10.54 mm   439.65 um   131.90 um  
 140.00 MeV   6.388E+00  3.388E-03   12.05 mm   490.22 um   150.42 um  
 150.00 MeV   6.041E+00  3.181E-03   13.66 mm   541.47 um   169.99 um  
 160.00 MeV   5.733E+00  2.998E-03   15.36 mm   593.45 um   190.59 um  
 170.00 MeV   5.460E+00  2.836E-03   17.15 mm   646.17 um   212.20 um  
 180.00 MeV   5.214E+00  2.691E-03   19.02 mm   699.62 um   234.79 um  
 200.00 MeV   4.792E+00  2.443E-03   23.02 mm   902.10 um   282.89 um  
 225.00 MeV   4.363E+00  2.193E-03   28.49 mm     1.19 mm   348.28 um  
 250.00 MeV   4.015E+00  1.991E-03   34.46 mm     1.46 mm   419.29 um  
 275.00 MeV   3.726E+00  1.823E-03   40.92 mm     1.73 mm   495.70 um  
 300.00 MeV   3.483E+00  1.683E-03   47.86 mm     1.99 mm   577.31 um  
 325.00 MeV   3.274E+00  1.564E-03   55.26 mm     2.25 mm   663.92 um  
 350.00 MeV   3.094E+00  1.460E-03   63.11 mm     2.52 mm   755.36 um  
 375.00 MeV   2.937E+00  1.370E-03   71.40 mm     2.78 mm   851.45 um  
 400.00 MeV   2.798E+00  1.291E-03   80.12 mm     3.05 mm   952.05 um  
 450.00 MeV   2.565E+00  1.158E-03   98.78 mm     4.04 mm     1.17 mm  
 500.00 MeV   2.375E+00  1.051E-03  119.03 mm     4.96 mm     1.40 mm  
 550.00 MeV   2.219E+00  9.623E-04  140.80 mm     5.85 mm     1.64 mm  
 600.00 MeV   2.088E+00  8.879E-04  164.02 mm     6.72 mm     1.90 mm  
