 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Helium (gas).txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 375.00 keV   6.108E-01  9.225E-04  862.45 um    49.83 um    63.74 um  
 400.00 keV   5.975E-01  8.725E-04  903.74 um    50.23 um    64.00 um  
 450.00 keV   5.711E-01  7.881E-04  989.16 um    51.80 um    64.52 um  
 500.00 keV   5.458E-01  7.193E-04    1.08 mm    53.44 um    65.04 um  
 550.00 keV   5.220E-01  6.622E-04    1.17 mm    55.19 um    65.56 um  
 600.00 keV   4.997E-01  6.139E-04    1.27 mm    57.02 um    66.10 um  
 650.00 keV   4.791E-01  5.726E-04    1.37 mm    58.96 um    66.66 um  
 700.00 keV   4.600E-01  5.367E-04    1.48 mm    60.99 um    67.23 um  
 800.00 keV   4.259E-01  4.776E-04    1.70 mm    69.10 um    68.46 um  
 900.00 keV   3.966E-01  4.308E-04    1.95 mm    77.45 um    69.80 um  
   1.00 MeV   3.711E-01  3.927E-04    2.21 mm    86.05 um    71.27 um  
   1.10 MeV   3.489E-01  3.611E-04    2.48 mm    94.88 um    72.89 um  
   1.20 MeV   3.293E-01  3.345E-04    2.78 mm   103.94 um    74.66 um  
   1.30 MeV   3.118E-01  3.117E-04    3.09 mm   113.23 um    76.60 um  
   1.40 MeV   2.963E-01  2.919E-04    3.42 mm   122.73 um    78.71 um  
   1.50 MeV   2.823E-01  2.747E-04    3.77 mm   132.45 um    81.00 um  
   1.60 MeV   2.697E-01  2.594E-04    4.13 mm   142.37 um    83.47 um  
   1.70 MeV   2.582E-01  2.459E-04    4.51 mm   152.49 um    86.13 um  
   1.80 MeV   2.477E-01  2.337E-04    4.90 mm   162.80 um    88.99 um  
   2.00 MeV   2.293E-01  2.128E-04    5.74 mm   202.18 um    95.28 um  
   2.25 MeV   2.100E-01  1.917E-04    6.88 mm   259.40 um   104.24 um  
   2.50 MeV   1.938E-01  1.745E-04    8.12 mm   313.94 um   114.41 um  
   2.75 MeV   1.802E-01  1.603E-04    9.45 mm   367.46 um   125.75 um  
   3.00 MeV   1.684E-01  1.483E-04   10.89 mm   420.77 um   138.22 um  
   3.25 MeV   1.594E-01  1.381E-04   12.41 mm   473.89 um   151.76 um  
