 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in  Havar.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   1.282E+02  1.114E-01    3.87 um     2607 A      4024 A   
 800.00 keV   1.189E+02  9.983E-02    4.66 um     3056 A      4653 A   
 900.00 keV   1.111E+02  9.058E-02    5.52 um     3510 A      5322 A   
   1.00 MeV   1.044E+02  8.301E-02    6.43 um     3972 A      6029 A   
   1.10 MeV   9.932E+01  7.668E-02    7.40 um     4441 A      6771 A   
   1.20 MeV   9.427E+01  7.131E-02    8.42 um     4916 A      7545 A   
   1.30 MeV   9.008E+01  6.669E-02    9.48 um     5400 A      8352 A   
   1.40 MeV   8.630E+01  6.267E-02   10.60 um     5892 A      9188 A   
   1.50 MeV   8.287E+01  5.914E-02   11.77 um     6392 A      1.01 um  
   1.60 MeV   7.974E+01  5.601E-02   12.98 um     6901 A      1.09 um  
   1.70 MeV   7.688E+01  5.322E-02   14.24 um     7419 A      1.19 um  
   1.80 MeV   7.425E+01  5.071E-02   15.55 um     7945 A      1.28 um  
   2.00 MeV   6.958E+01  4.638E-02   18.29 um     9421 A      1.48 um  
   2.25 MeV   6.462E+01  4.196E-02   21.97 um     1.15 um     1.74 um  
   2.50 MeV   6.042E+01  3.835E-02   25.93 um     1.35 um     2.02 um  
   2.75 MeV   5.681E+01  3.535E-02   30.14 um     1.55 um     2.32 um  
   3.00 MeV   5.367E+01  3.281E-02   34.62 um     1.76 um     2.62 um  
   3.25 MeV   5.090E+01  3.064E-02   39.35 um     1.96 um     2.95 um  
   3.50 MeV   4.845E+01  2.874E-02   44.33 um     2.17 um     3.29 um  
   3.75 MeV   4.625E+01  2.709E-02   49.55 um     2.38 um     3.64 um  
   4.00 MeV   4.428E+01  2.562E-02   55.01 um     2.60 um     4.01 um  
   4.50 MeV   4.085E+01  2.314E-02   66.65 um     3.26 um     4.78 um  
   5.00 MeV   3.798E+01  2.112E-02   79.21 um     3.89 um     5.61 um  
   5.50 MeV   3.554E+01  1.944E-02   92.69 um     4.53 um     6.49 um  
   6.00 MeV   3.342E+01  1.803E-02  107.05 um     5.17 um     7.41 um  
   6.50 MeV   3.158E+01  1.681E-02  122.30 um     5.81 um     8.39 um  
   7.00 MeV   2.995E+01  1.576E-02  138.40 um     6.47 um     9.42 um  
   8.00 MeV   2.720E+01  1.402E-02  173.12 um     8.54 um    11.62 um  
   9.00 MeV   2.497E+01  1.265E-02  211.14 um    10.53 um    14.00 um  
  10.00 MeV   2.312E+01  1.153E-02  252.40 um    12.51 um    16.57 um  
  11.00 MeV   2.155E+01  1.060E-02  296.83 um    14.49 um    19.31 um  
  12.00 MeV   2.020E+01  9.820E-03  344.35 um    16.51 um    22.22 um  
  13.00 MeV   1.903E+01  9.150E-03  394.93 um    18.57 um    25.30 um  
  14.00 MeV   1.800E+01  8.571E-03  448.51 um    20.66 um    28.54 um  
  15.00 MeV   1.709E+01  8.063E-03  505.05 um    22.80 um    31.95 um  
  16.00 MeV   1.628E+01  7.616E-03  564.49 um    24.99 um    35.51 um  
  17.00 MeV   1.555E+01  7.217E-03  626.82 um    27.22 um    39.23 um  
  18.00 MeV   1.490E+01  6.861E-03  691.99 um    29.50 um    43.11 um  
  20.00 MeV   1.375E+01  6.248E-03  830.64 um    36.86 um    51.31 um  
  22.50 MeV   1.257E+01  5.627E-03    1.02 mm    47.28 um    62.40 um  
  25.00 MeV   1.160E+01  5.123E-03    1.22 mm    57.37 um    74.39 um  
  27.50 MeV   1.079E+01  4.705E-03    1.45 mm    67.40 um    87.24 um  
  30.00 MeV   1.009E+01  4.354E-03    1.68 mm    77.48 um   100.95 um  
  32.50 MeV   9.493E+00  4.053E-03    1.94 mm    87.68 um   115.47 um  
  35.00 MeV   8.970E+00  3.793E-03    2.21 mm    98.03 um   130.81 um  
  37.50 MeV   8.510E+00  3.566E-03    2.49 mm   108.57 um   146.93 um  
  40.00 MeV   8.101E+00  3.365E-03    2.79 mm   119.30 um   163.83 um  
  45.00 MeV   7.405E+00  3.028E-03    3.43 mm   155.00 um   199.88 um  
  50.00 MeV   6.836E+00  2.754E-03    4.13 mm   189.20 um   238.83 um  
  55.00 MeV   6.360E+00  2.528E-03    4.88 mm   222.94 um   280.58 um  
  60.00 MeV   5.957E+00  2.337E-03    5.69 mm   256.68 um   325.03 um  
  65.00 MeV   5.610E+00  2.175E-03    6.55 mm   290.65 um   372.09 um  
  70.00 MeV   5.308E+00  2.034E-03    7.46 mm   325.00 um   421.66 um  
  80.00 MeV   4.809E+00  1.803E-03    9.43 mm   440.65 um   528.05 um  
  90.00 MeV   4.412E+00  1.621E-03   11.58 mm   549.64 um   643.63 um  
 100.00 MeV   4.089E+00  1.473E-03   13.92 mm   656.29 um   767.85 um  
 110.00 MeV   3.820E+00  1.352E-03   16.44 mm   762.33 um   900.22 um  
 120.00 MeV   3.594E+00  1.249E-03   19.12 mm   868.60 um     1.04 mm  
 130.00 MeV   3.399E+00  1.161E-03   21.97 mm   975.51 um     1.19 mm  
 140.00 MeV   3.231E+00  1.086E-03   24.97 mm     1.08 mm     1.34 mm  
 150.00 MeV   3.084E+00  1.020E-03   28.12 mm     1.19 mm     1.50 mm  
 160.00 MeV   2.954E+00  9.617E-04   31.41 mm     1.30 mm     1.67 mm  
 170.00 MeV   2.839E+00  9.101E-04   34.84 mm     1.41 mm     1.84 mm  
 180.00 MeV   2.736E+00  8.639E-04   38.41 mm     1.52 mm     2.02 mm  
 200.00 MeV   2.559E+00  7.848E-04   45.93 mm     1.90 mm     2.39 mm  
 225.00 MeV   2.380E+00  7.049E-04   56.01 mm     2.43 mm     2.89 mm  
 250.00 MeV   2.236E+00  6.402E-04   66.79 mm     2.93 mm     3.41 mm  
 275.00 MeV   2.118E+00  5.868E-04   78.22 mm     3.40 mm     3.95 mm  
 300.00 MeV   2.018E+00  5.420E-04   90.26 mm     3.86 mm     4.52 mm  
 325.00 MeV   1.934E+00  5.037E-04  102.85 mm     4.32 mm     5.10 mm  
 350.00 MeV   1.862E+00  4.706E-04  115.96 mm     4.76 mm     5.70 mm  
 375.00 MeV   1.800E+00  4.418E-04  129.56 mm     5.21 mm     6.31 mm  
 400.00 MeV   1.745E+00  4.164E-04  143.60 mm     5.64 mm     6.93 mm  
 450.00 MeV   1.654E+00  3.738E-04  172.91 mm     7.13 mm     8.22 mm  
 500.00 MeV   1.582E+00  3.393E-04  203.68 mm     8.48 mm     9.53 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.2049E-03                keV / (ug/cm2) 
  1.2049E-03                MeV / (mg/cm2) 
  1.2049E+00                keV / (mg/cm2) 
  1.1587E-01                 eV / (1E15 atoms/cm2)
  9.5294E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
