 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in  Havar.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   7.180E+02  1.148E+00    1.14 um     1295 A      1625 A   
 800.00 keV   7.080E+02  1.033E+00    1.28 um     1338 A      1702 A   
 900.00 keV   6.948E+02  9.404E-01    1.42 um     1380 A      1776 A   
   1.00 MeV   6.798E+02  8.642E-01    1.56 um     1421 A      1849 A   
   1.10 MeV   6.639E+02  8.003E-01    1.71 um     1462 A      1921 A   
   1.20 MeV   6.476E+02  7.458E-01    1.86 um     1502 A      1993 A   
   1.30 MeV   6.315E+02  6.989E-01    2.02 um     1543 A      2066 A   
   1.40 MeV   6.156E+02  6.579E-01    2.17 um     1584 A      2139 A   
   1.50 MeV   6.001E+02  6.218E-01    2.34 um     1625 A      2213 A   
   1.60 MeV   5.851E+02  5.898E-01    2.50 um     1667 A      2288 A   
   1.70 MeV   5.707E+02  5.611E-01    2.68 um     1710 A      2364 A   
   1.80 MeV   5.569E+02  5.353E-01    2.85 um     1754 A      2442 A   
   2.00 MeV   5.310E+02  4.907E-01    3.22 um     1878 A      2600 A   
   2.25 MeV   5.016E+02  4.450E-01    3.70 um     2059 A      2807 A   
   2.50 MeV   4.753E+02  4.076E-01    4.20 um     2244 A      3024 A   
   2.75 MeV   4.518E+02  3.764E-01    4.74 um     2433 A      3250 A   
   3.00 MeV   4.306E+02  3.499E-01    5.30 um     2625 A      3487 A   
   3.25 MeV   4.114E+02  3.272E-01    5.89 um     2822 A      3734 A   
   3.50 MeV   3.941E+02  3.074E-01    6.51 um     3023 A      3992 A   
   3.75 MeV   3.782E+02  2.900E-01    7.15 um     3229 A      4260 A   
   4.00 MeV   3.638E+02  2.746E-01    7.82 um     3438 A      4538 A   
   4.50 MeV   3.382E+02  2.485E-01    9.24 um     4119 A      5125 A   
   5.00 MeV   3.164E+02  2.272E-01   10.76 um     4787 A      5751 A   
   5.50 MeV   2.975E+02  2.095E-01   12.38 um     5452 A      6416 A   
