 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron_in_Ice.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  9.2000E-01 g/cm3 = 4.9250E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    025.00    059.96   
      H      1    050.00    004.48   
      O      8    025.00    035.56   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 650.00 keV   3.365E+01  4.140E-02   14.94 um     6658 A      8393 A   
 700.00 keV   3.233E+01  3.886E-02   16.44 um     7129 A      8910 A   
 800.00 keV   3.004E+01  3.467E-02   19.64 um     8693 A      1.00 um  
 900.00 keV   2.812E+01  3.134E-02   23.06 um     1.02 um     1.12 um  
   1.00 MeV   2.650E+01  2.862E-02   26.71 um     1.17 um     1.24 um  
   1.10 MeV   2.510E+01  2.637E-02   30.57 um     1.32 um     1.37 um  
   1.20 MeV   2.389E+01  2.446E-02   34.64 um     1.46 um     1.51 um  
   1.30 MeV   2.282E+01  2.282E-02   38.91 um     1.61 um     1.65 um  
   1.40 MeV   2.188E+01  2.140E-02   43.37 um     1.76 um     1.79 um  
   1.50 MeV   2.104E+01  2.016E-02   48.01 um     1.91 um     1.95 um  
   1.60 MeV   2.030E+01  1.906E-02   52.83 um     2.06 um     2.10 um  
   1.70 MeV   1.963E+01  1.808E-02   57.83 um     2.21 um     2.27 um  
   1.80 MeV   1.903E+01  1.720E-02   62.98 um     2.35 um     2.43 um  
   2.00 MeV   1.800E+01  1.569E-02   73.76 um     2.86 um     2.78 um  
   2.25 MeV   1.710E+01  1.416E-02   87.96 um     3.57 um     3.22 um  
