 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in  Havar.txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   1.744E+03  5.529E+02    3699 A      1061 A       931 A   
   1.00 MeV   1.865E+03  5.202E+02    4072 A      1125 A      1005 A   
   1.10 MeV   1.981E+03  4.917E+02    4434 A      1183 A      1074 A   
   1.20 MeV   2.092E+03  4.666E+02    4787 A      1236 A      1139 A   
   1.30 MeV   2.199E+03  4.443E+02    5131 A      1284 A      1200 A   
   1.40 MeV   2.301E+03  4.244E+02    5465 A      1329 A      1258 A   
   1.50 MeV   2.400E+03  4.064E+02    5792 A      1370 A      1312 A   
   1.60 MeV   2.495E+03  3.900E+02    6112 A      1409 A      1364 A   
   1.70 MeV   2.587E+03  3.751E+02    6424 A      1445 A      1413 A   
   1.80 MeV   2.677E+03  3.615E+02    6730 A      1478 A      1459 A   
   2.00 MeV   2.850E+03  3.373E+02    7322 A      1540 A      1546 A   
   2.25 MeV   3.056E+03  3.119E+02    8031 A      1608 A      1644 A   
   2.50 MeV   3.255E+03  2.904E+02    8707 A      1667 A      1731 A   
   2.75 MeV   3.447E+03  2.720E+02    9355 A      1719 A      1811 A   
   3.00 MeV   3.635E+03  2.561E+02    9976 A      1765 A      1884 A   
   3.25 MeV   3.818E+03  2.421E+02    1.06 um     1806 A      1950 A   
   3.50 MeV   3.996E+03  2.298E+02    1.11 um     1843 A      2011 A   
   3.75 MeV   4.171E+03  2.188E+02    1.17 um     1876 A      2067 A   
   4.00 MeV   4.342E+03  2.089E+02    1.22 um     1906 A      2119 A   
   4.50 MeV   4.672E+03  1.919E+02    1.33 um     1961 A      2213 A   
   5.00 MeV   4.988E+03  1.777E+02    1.42 um     2007 A      2295 A   
   5.50 MeV   5.290E+03  1.656E+02    1.51 um     2047 A      2368 A   
   6.00 MeV   5.579E+03  1.552E+02    1.60 um     2082 A      2433 A   
   6.50 MeV   5.855E+03  1.462E+02    1.68 um     2113 A      2492 A   
   7.00 MeV   6.120E+03  1.383E+02    1.76 um     2140 A      2545 A   
   8.00 MeV   6.614E+03  1.250E+02    1.91 um     2191 A      2638 A   
   9.00 MeV   7.068E+03  1.142E+02    2.06 um     2234 A      2717 A   
  10.00 MeV   7.484E+03  1.053E+02    2.19 um     2270 A      2786 A   
  11.00 MeV   7.867E+03  9.779E+01    2.32 um     2301 A      2846 A   
  12.00 MeV   8.220E+03  9.137E+01    2.44 um     2328 A      2900 A   
  13.00 MeV   8.546E+03  8.581E+01    2.55 um     2352 A      2949 A   
  14.00 MeV   8.848E+03  8.095E+01    2.67 um     2374 A      2993 A   
  15.00 MeV   9.127E+03  7.665E+01    2.78 um     2394 A      3033 A   
  16.00 MeV   9.385E+03  7.282E+01    2.88 um     2412 A      3071 A   
  17.00 MeV   9.625E+03  6.939E+01    2.99 um     2429 A      3105 A   
  18.00 MeV   9.849E+03  6.630E+01    3.09 um     2445 A      3138 A   
  20.00 MeV   1.025E+04  6.093E+01    3.28 um     2481 A      3196 A   
  22.50 MeV   1.068E+04  5.541E+01    3.52 um     2525 A      3261 A   
  25.00 MeV   1.103E+04  5.088E+01    3.75 um     2564 A      3318 A   
  27.50 MeV   1.134E+04  4.708E+01    3.97 um     2600 A      3370 A   
  30.00 MeV   1.159E+04  4.385E+01    4.18 um     2632 A      3417 A   
  32.50 MeV   1.180E+04  4.106E+01    4.40 um     2663 A      3461 A   
  35.00 MeV   1.198E+04  3.864E+01    4.61 um     2692 A      3501 A   
  37.50 MeV   1.213E+04  3.650E+01    4.81 um     2719 A      3539 A   
  40.00 MeV   1.225E+04  3.461E+01    5.02 um     2745 A      3575 A   
  45.00 MeV   1.243E+04  3.139E+01    5.42 um     2823 A      3641 A   
  50.00 MeV   1.255E+04  2.875E+01    5.82 um     2897 A      3702 A   
  55.00 MeV   1.260E+04  2.655E+01    6.21 um     2967 A      3759 A   
  60.00 MeV   1.262E+04  2.468E+01    6.61 um     3034 A      3813 A   
  65.00 MeV   1.261E+04  2.308E+01    7.00 um     3099 A      3864 A   
  70.00 MeV   1.257E+04  2.168E+01    7.40 um     3163 A      3913 A   
  80.00 MeV   1.243E+04  1.937E+01    8.20 um     3382 A      4007 A   
  90.00 MeV   1.225E+04  1.753E+01    9.00 um     3593 A      4096 A   
 100.00 MeV   1.211E+04  1.603E+01    9.82 um     3796 A      4183 A   
 110.00 MeV   1.193E+04  1.478E+01   10.65 um     3993 A      4267 A   
 120.00 MeV   1.171E+04  1.372E+01   11.50 um     4187 A      4350 A   
 130.00 MeV   1.149E+04  1.281E+01   12.36 um     4379 A      4432 A   
