 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Aluminum.txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800.00 keV   8.992E+01  1.208E-01    7.45 um     3590 A      4653 A   
 900.00 keV   8.556E+01  1.093E-01    8.58 um     4039 A      5057 A   
   1.00 MeV   8.170E+01  9.999E-02    9.77 um     4482 A      5473 A   
   1.10 MeV   7.825E+01  9.220E-02   11.02 um     4923 A      5904 A   
   1.20 MeV   7.515E+01  8.560E-02   12.31 um     5362 A      6348 A   
   1.30 MeV   7.236E+01  7.994E-02   13.66 um     5802 A      6805 A   
   1.40 MeV   6.982E+01  7.502E-02   15.06 um     6242 A      7275 A   
   1.50 MeV   6.750E+01  7.071E-02   16.51 um     6683 A      7758 A   
   1.60 MeV   6.537E+01  6.690E-02   18.01 um     7126 A      8253 A   
   1.70 MeV   6.341E+01  6.349E-02   19.56 um     7572 A      8759 A   
   1.80 MeV   6.160E+01  6.044E-02   21.15 um     8019 A      9278 A   
   2.00 MeV   5.836E+01  5.519E-02   24.48 um     9516 A      1.03 um  
   2.25 MeV   5.489E+01  4.984E-02   28.88 um     1.16 um     1.17 um  
   2.50 MeV   5.191E+01  4.548E-02   33.55 um     1.36 um     1.32 um  
   2.75 MeV   4.933E+01  4.187E-02   38.47 um     1.56 um     1.47 um  
   3.00 MeV   4.706E+01  3.881E-02   43.65 um     1.75 um     1.63 um  
   3.25 MeV   4.489E+01  3.619E-02   49.07 um     1.94 um     1.80 um  
   3.50 MeV   4.271E+01  3.392E-02   54.76 um     2.12 um     1.97 um  
   3.75 MeV   4.076E+01  3.194E-02   60.74 um     2.32 um     2.14 um  
   4.00 MeV   3.909E+01  3.018E-02   66.98 um     2.51 um     2.33 um  
   4.50 MeV   3.617E+01  2.722E-02   80.25 um     3.19 um     2.71 um  
   5.00 MeV   3.371E+01  2.481E-02   94.54 um     3.83 um     3.12 um  
   5.50 MeV   3.160E+01  2.281E-02  109.82 um     4.46 um     3.56 um  
   6.00 MeV   2.977E+01  2.113E-02  126.09 um     5.08 um     4.02 um  
   6.50 MeV   2.817E+01  1.969E-02  143.31 um     5.70 um     4.50 um  
   7.00 MeV   2.675E+01  1.844E-02  161.49 um     6.32 um     5.01 um  
   8.00 MeV   2.435E+01  1.638E-02  200.59 um     8.51 um     6.09 um  
   9.00 MeV   2.239E+01  1.476E-02  243.33 um    10.57 um     7.25 um  
  10.00 MeV   2.076E+01  1.344E-02  289.62 um    12.56 um     8.50 um  
  11.00 MeV   1.938E+01  1.235E-02  339.38 um    14.54 um     9.84 um  
  12.00 MeV   1.819E+01  1.142E-02  392.55 um    16.52 um    11.25 um  
  13.00 MeV   1.715E+01  1.064E-02  449.06 um    18.51 um    12.74 um  
  14.00 MeV   1.624E+01  9.956E-03  508.88 um    20.52 um    14.31 um  
  15.00 MeV   1.543E+01  9.360E-03  571.94 um    22.55 um    15.96 um  
  16.00 MeV   1.470E+01  8.835E-03  638.21 um    24.61 um    17.68 um  
  17.00 MeV   1.405E+01  8.369E-03  707.65 um    26.70 um    19.47 um  
  18.00 MeV   1.346E+01  7.951E-03  780.22 um    28.82 um    21.34 um  
  20.00 MeV   1.243E+01  7.234E-03  934.55 um    36.55 um    25.28 um  
  22.50 MeV   1.137E+01  6.508E-03    1.14 mm    47.57 um    30.61 um  
  25.00 MeV   1.049E+01  5.920E-03    1.37 mm    58.01 um    36.37 um  
  27.50 MeV   9.753E+00  5.433E-03    1.62 mm    68.24 um    42.54 um  
  30.00 MeV   9.120E+00  5.023E-03    1.88 mm    78.41 um    49.12 um  
  32.50 MeV   8.573E+00  4.674E-03    2.17 mm    88.61 um    56.09 um  
  35.00 MeV   8.094E+00  4.371E-03    2.47 mm    98.89 um    63.46 um  
  37.50 MeV   7.671E+00  4.107E-03    2.78 mm   109.27 um    71.21 um  
  40.00 MeV   7.295E+00  3.874E-03    3.12 mm   119.78 um    79.34 um  
  45.00 MeV   6.653E+00  3.483E-03    3.83 mm   158.31 um    96.72 um  
  50.00 MeV   6.125E+00  3.166E-03    4.62 mm   194.60 um   115.55 um  
  55.00 MeV   5.683E+00  2.904E-03    5.46 mm   230.02 um   135.80 um  
  60.00 MeV   5.307E+00  2.683E-03    6.37 mm   265.20 um   157.43 um  
  65.00 MeV   4.982E+00  2.495E-03    7.34 mm   300.45 um   180.42 um  
  70.00 MeV   4.700E+00  2.332E-03    8.37 mm   335.96 um   204.73 um  
  80.00 MeV   4.230E+00  2.066E-03   10.61 mm   465.32 um   257.24 um  
  90.00 MeV   3.855E+00  1.855E-03   13.09 mm   585.91 um   314.78 um  
 100.00 MeV   3.548E+00  1.686E-03   15.79 mm   703.50 um   377.18 um  
 110.00 MeV   3.291E+00  1.545E-03   18.71 mm   820.38 um   444.29 um  
 120.00 MeV   3.074E+00  1.427E-03   21.85 mm   937.65 um   515.99 um  
 130.00 MeV   2.888E+00  1.326E-03   25.21 mm     1.06 mm   592.14 um  
 140.00 MeV   2.725E+00  1.240E-03   28.77 mm     1.18 mm   672.63 um  
 150.00 MeV   2.583E+00  1.164E-03   32.53 mm     1.30 mm   757.35 um  
 160.00 MeV   2.457E+00  1.097E-03   36.50 mm     1.42 mm   846.20 um  
 170.00 MeV   2.344E+00  1.038E-03   40.66 mm     1.54 mm   939.08 um  
 180.00 MeV   2.243E+00  9.848E-04   45.01 mm     1.67 mm     1.04 mm  
 200.00 MeV   2.070E+00  8.941E-04   54.28 mm     2.14 mm     1.24 mm  
 225.00 MeV   1.893E+00  8.025E-04   66.90 mm     2.80 mm     1.52 mm  
 250.00 MeV   1.749E+00  7.285E-04   80.63 mm     3.43 mm     1.82 mm  
 275.00 MeV   1.629E+00  6.674E-04   95.43 mm     4.03 mm     2.14 mm  
 300.00 MeV   1.528E+00  6.161E-04  111.26 mm     4.63 mm     2.48 mm  
 325.00 MeV   1.442E+00  5.723E-04  128.08 mm     5.23 mm     2.84 mm  
 350.00 MeV   1.367E+00  5.346E-04  145.87 mm     5.83 mm     3.21 mm  
 375.00 MeV   1.302E+00  5.016E-04  164.59 mm     6.42 mm     3.61 mm  
 400.00 MeV   1.244E+00  4.727E-04  184.21 mm     7.02 mm     4.02 mm  
 450.00 MeV   1.147E+00  4.240E-04  226.02 mm     9.23 mm     4.88 mm  
 500.00 MeV   1.069E+00  3.847E-04  271.14 mm    11.27 mm     5.81 mm  
