 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Ice.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800.00 keV   3.130E+01  2.458E-02   16.10 um     6834 A      5541 A   
 900.00 keV   2.875E+01  2.218E-02   19.43 um     8428 A      6500 A   
   1.00 MeV   2.659E+01  2.023E-02   23.04 um     9992 A      7538 A   
   1.10 MeV   2.534E+01  1.861E-02   26.88 um     1.15 um     8640 A   
   1.20 MeV   2.409E+01  1.724E-02   30.92 um     1.30 um     9792 A   
   1.30 MeV   2.256E+01  1.607E-02   35.20 um     1.45 um     1.10 um  
   1.40 MeV   2.123E+01  1.506E-02   39.76 um     1.60 um     1.23 um  
   1.50 MeV   2.006E+01  1.417E-02   44.59 um     1.76 um     1.36 um  
   1.60 MeV   1.903E+01  1.339E-02   49.70 um     1.92 um     1.51 um  
   1.70 MeV   1.812E+01  1.269E-02   55.07 um     2.09 um     1.66 um  
   1.80 MeV   1.731E+01  1.206E-02   60.70 um     2.26 um     1.81 um  
   2.00 MeV   1.592E+01  1.099E-02   72.72 um     2.87 um     2.15 um  
   2.25 MeV   1.452E+01  9.901E-03   89.14 um     3.74 um     2.60 um  
   2.50 MeV   1.337E+01  9.017E-03  107.05 um     4.57 um     3.09 um  
   2.75 MeV   1.241E+01  8.285E-03  126.43 um     5.38 um     3.62 um  
   3.00 MeV   1.159E+01  7.668E-03  147.24 um     6.19 um     4.19 um  
   3.25 MeV   1.088E+01  7.140E-03  169.46 um     7.01 um     4.79 um  
   3.50 MeV   1.027E+01  6.683E-03  193.06 um     7.83 um     5.43 um  
   3.75 MeV   9.724E+00  6.284E-03  218.04 um     8.67 um     6.11 um  
   4.00 MeV   9.240E+00  5.932E-03  244.36 um     9.51 um     6.82 um  
   4.50 MeV   8.417E+00  5.339E-03  300.96 um    12.58 um     8.33 um  
   5.00 MeV   7.741E+00  4.858E-03  362.80 um    15.47 um     9.98 um  
   5.50 MeV   7.174E+00  4.460E-03  429.78 um    18.30 um    11.76 um  
   6.00 MeV   6.691E+00  4.125E-03  501.82 um    21.12 um    13.67 um  
   6.50 MeV   6.275E+00  3.839E-03  578.85 um    23.96 um    15.70 um  
   7.00 MeV   5.912E+00  3.591E-03  660.81 um    26.82 um    17.85 um  
   8.00 MeV   5.308E+00  3.184E-03  839.06 um    37.18 um    22.51 um  
   9.00 MeV   4.825E+00  2.863E-03    1.04 mm    46.88 um    27.64 um  
  10.00 MeV   4.429E+00  2.603E-03    1.25 mm    56.39 um    33.23 um  
  11.00 MeV   4.098E+00  2.389E-03    1.49 mm    65.88 um    39.27 um  
  12.00 MeV   3.818E+00  2.208E-03    1.74 mm    75.45 um    45.75 um  
  13.00 MeV   3.576E+00  2.053E-03    2.01 mm    85.13 um    52.66 um  
  14.00 MeV   3.366E+00  1.920E-03    2.30 mm    94.97 um    59.99 um  
  15.00 MeV   3.181E+00  1.804E-03    2.60 mm   104.97 um    67.75 um  
  16.00 MeV   3.018E+00  1.701E-03    2.92 mm   115.14 um    75.91 um  
  17.00 MeV   2.872E+00  1.610E-03    3.26 mm   125.49 um    84.48 um  
  18.00 MeV   2.740E+00  1.528E-03    3.62 mm   136.01 um    93.46 um  
  20.00 MeV   2.514E+00  1.389E-03    4.38 mm   174.95 um   112.59 um  
  22.50 MeV   2.283E+00  1.248E-03    5.42 mm   230.63 um   138.69 um  
  25.00 MeV   2.094E+00  1.133E-03    6.56 mm   283.53 um   167.15 um  
  27.50 MeV   1.938E+00  1.039E-03    7.80 mm   335.49 um   197.90 um  
  30.00 MeV   1.805E+00  9.598E-04    9.14 mm   387.30 um   230.89 um  
  32.50 MeV   1.691E+00  8.921E-04   10.57 mm   439.39 um   266.08 um  
