 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Havar (ICRU-470).txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 650.00 keV   2.168E+02  3.529E-01    2.97 um     2639 A      3635 A   
 700.00 keV   2.120E+02  3.322E-01    3.20 um     2707 A      3767 A   
 800.00 keV   2.027E+02  2.977E-01    3.68 um     2883 A      4033 A   
 900.00 keV   1.939E+02  2.702E-01    4.17 um     3060 A      4304 A   
   1.00 MeV   1.857E+02  2.476E-01    4.69 um     3239 A      4581 A   
   1.10 MeV   1.781E+02  2.288E-01    5.24 um     3423 A      4867 A   
   1.20 MeV   1.712E+02  2.128E-01    5.80 um     3610 A      5160 A   
   1.30 MeV   1.648E+02  1.990E-01    6.39 um     3801 A      5462 A   
   1.40 MeV   1.589E+02  1.870E-01    7.00 um     3996 A      5773 A   
   1.50 MeV   1.535E+02  1.765E-01    7.64 um     4196 A      6093 A   
   1.60 MeV   1.485E+02  1.672E-01    8.29 um     4400 A      6422 A   
   1.70 MeV   1.438E+02  1.588E-01    8.97 um     4608 A      6760 A   
   1.80 MeV   1.395E+02  1.513E-01    9.67 um     4820 A      7108 A   
   2.00 MeV   1.317E+02  1.384E-01   11.13 um     5452 A      7830 A   
   2.25 MeV   1.234E+02  1.252E-01   13.08 um     6361 A      8782 A   
   2.50 MeV   1.162E+02  1.145E-01   15.15 um     7261 A      9788 A   
   2.75 MeV   1.099E+02  1.055E-01   17.35 um     8161 A      1.08 um  
   3.00 MeV   1.044E+02  9.797E-02   19.67 um     9066 A      1.20 um  
   3.25 MeV   1.002E+02  9.147E-02   22.10 um     9972 A      1.31 um  
   3.50 MeV   9.595E+01  8.583E-02   24.63 um     1.09 um     1.43 um  
   3.75 MeV   9.212E+01  8.088E-02   27.27 um     1.18 um     1.55 um  
   4.00 MeV   8.878E+01  7.650E-02   30.02 um     1.27 um     1.68 um  
   4.50 MeV   8.287E+01  6.910E-02   35.81 um     1.57 um     1.95 um  
   5.00 MeV   7.781E+01  6.308E-02   42.00 um     1.85 um     2.23 um  
   5.50 MeV   7.342E+01  5.807E-02   48.58 um     2.13 um     2.53 um  
   6.00 MeV   6.958E+01  5.384E-02   55.54 um     2.41 um     2.84 um  
   6.50 MeV   6.618E+01  5.022E-02   62.87 um     2.68 um     3.16 um  
   7.00 MeV   6.314E+01  4.707E-02   70.56 um     2.96 um     3.50 um  
   8.00 MeV   5.796E+01  4.189E-02   87.02 um     3.88 um     4.21 um  
   9.00 MeV   5.367E+01  3.778E-02  104.86 um     4.75 um     4.97 um  
  10.00 MeV   5.005E+01  3.445E-02  124.07 um     5.59 um     5.78 um  
  11.00 MeV   4.696E+01  3.168E-02  144.61 um     6.43 um     6.64 um  
  12.00 MeV   4.428E+01  2.934E-02  166.44 um     7.27 um     7.54 um  
  13.00 MeV   4.192E+01  2.734E-02  189.55 um     8.12 um     8.49 um  
  14.00 MeV   3.984E+01  2.561E-02  213.92 um     8.97 um     9.48 um  
  15.00 MeV   3.798E+01  2.410E-02  239.52 um     9.84 um    10.51 um  
  16.00 MeV   3.631E+01  2.276E-02  266.34 um    10.71 um    11.59 um  
  17.00 MeV   3.480E+01  2.157E-02  294.36 um    11.60 um    12.71 um  
  18.00 MeV   3.342E+01  2.050E-02  323.57 um    12.50 um    13.86 um  
  20.00 MeV   3.101E+01  1.867E-02  385.45 um    15.60 um    16.30 um  
  22.50 MeV   2.850E+01  1.682E-02  469.24 um    20.01 um    19.57 um  
  25.00 MeV   2.641E+01  1.531E-02  560.04 um    24.21 um    23.07 um  
  27.50 MeV   2.464E+01  1.406E-02  657.71 um    28.34 um    26.81 um  
  30.00 MeV   2.312E+01  1.301E-02  762.11 um    32.44 um    30.77 um  
  32.50 MeV   2.179E+01  1.212E-02  873.12 um    36.56 um    34.96 um  
  35.00 MeV   2.063E+01  1.134E-02  990.65 um    40.72 um    39.36 um  
  37.50 MeV   1.959E+01  1.066E-02    1.11 mm    44.91 um    43.98 um  
  40.00 MeV   1.867E+01  1.006E-02    1.24 mm    49.17 um    48.80 um  
  45.00 MeV   1.709E+01  9.052E-03    1.52 mm    64.18 um    59.08 um  
  50.00 MeV   1.579E+01  8.235E-03    1.83 mm    78.39 um    70.16 um  
  55.00 MeV   1.469E+01  7.558E-03    2.15 mm    92.30 um    82.02 um  
  60.00 MeV   1.375E+01  6.989E-03    2.51 mm   106.13 um    94.65 um  
  65.00 MeV   1.294E+01  6.503E-03    2.88 mm   120.01 um   108.02 um  
  70.00 MeV   1.223E+01  6.082E-03    3.28 mm   133.99 um   122.12 um  
  80.00 MeV   1.104E+01  5.392E-03    4.13 mm   183.55 um   152.46 um  
  90.00 MeV   1.009E+01  4.847E-03    5.08 mm   229.96 um   185.56 um  
 100.00 MeV   9.311E+00  4.406E-03    6.11 mm   275.29 um   221.33 um  
 110.00 MeV   8.657E+00  4.042E-03    7.22 mm   320.39 um   259.68 um  
 120.00 MeV   8.101E+00  3.735E-03    8.41 mm   365.67 um   300.54 um  
 130.00 MeV   7.621E+00  3.474E-03    9.68 mm   411.36 um   343.82 um  
 140.00 MeV   7.203E+00  3.248E-03   11.02 mm   457.58 um   389.48 um  
 150.00 MeV   6.836E+00  3.050E-03   12.45 mm   504.40 um   437.44 um  
 160.00 MeV   6.510E+00  2.876E-03   13.94 mm   551.84 um   487.64 um  
 170.00 MeV   6.219E+00  2.722E-03   15.51 mm   599.94 um   540.05 um  
 180.00 MeV   5.957E+00  2.584E-03   17.15 mm   648.69 um   594.59 um  
 200.00 MeV   5.505E+00  2.347E-03   20.63 mm   824.87 um   709.96 um  
 225.00 MeV   5.043E+00  2.108E-03   25.37 mm     1.07 mm   865.41 um  
 250.00 MeV   4.667E+00  1.915E-03   30.51 mm     1.31 mm     1.03 mm  
 275.00 MeV   4.354E+00  1.755E-03   36.04 mm     1.54 mm     1.21 mm  
 300.00 MeV   4.089E+00  1.621E-03   41.95 mm     1.77 mm     1.40 mm  
 325.00 MeV   3.862E+00  1.507E-03   48.23 mm     1.99 mm     1.60 mm  
 350.00 MeV   3.665E+00  1.408E-03   54.86 mm     2.22 mm     1.81 mm  
 375.00 MeV   3.493E+00  1.322E-03   61.83 mm     2.45 mm     2.03 mm  
 400.00 MeV   3.341E+00  1.246E-03   69.13 mm     2.68 mm     2.26 mm  
 450.00 MeV   3.084E+00  1.118E-03   84.68 mm     3.50 mm     2.74 mm  
 500.00 MeV   2.876E+00  1.015E-03  101.44 mm     4.26 mm     3.25 mm  
 550.00 MeV   2.704E+00  9.301E-04  119.33 mm     4.99 mm     3.79 mm  
 600.00 MeV   2.559E+00  8.587E-04  138.31 mm     5.71 mm     4.35 mm  
 650.00 MeV   2.435E+00  7.977E-04  158.30 mm     6.41 mm     4.94 mm  
 700.00 MeV   2.329E+00  7.451E-04  179.25 mm     7.11 mm     5.56 mm  
 800.00 MeV   2.155E+00  6.589E-04  223.82 mm     9.58 mm     6.84 mm  
 900.00 MeV   2.018E+00  5.912E-04  271.69 mm    11.81 mm     8.19 mm  
   1.00 GeV   1.909E+00  5.364E-04  322.56 mm    13.91 mm     9.61 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.2049E-03                keV / (ug/cm2) 
  1.2049E-03                MeV / (mg/cm2) 
  1.2049E+00                keV / (mg/cm2) 
  1.1587E-01                 eV / (1E15 atoms/cm2)
  3.2843E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
