 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Al.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.20 MeV   1.353E+03  1.737E+02    8936 A      1223 A      1252 A   
   1.30 MeV   1.411E+03  1.647E+02    9558 A      1265 A      1313 A   
   1.40 MeV   1.467E+03  1.567E+02    1.02 um     1304 A      1371 A   
   1.50 MeV   1.521E+03  1.496E+02    1.08 um     1340 A      1426 A   
   1.60 MeV   1.574E+03  1.432E+02    1.13 um     1373 A      1477 A   
   1.70 MeV   1.624E+03  1.373E+02    1.19 um     1404 A      1525 A   
   1.80 MeV   1.672E+03  1.320E+02    1.24 um     1432 A      1571 A   
   2.00 MeV   1.764E+03  1.227E+02    1.35 um     1487 A      1656 A   
   2.25 MeV   1.871E+03  1.129E+02    1.47 um     1549 A      1752 A   
   2.50 MeV   1.970E+03  1.047E+02    1.60 um     1603 A      1837 A   
   2.75 MeV   2.064E+03  9.771E+01    1.71 um     1650 A      1914 A   
   3.00 MeV   2.152E+03  9.171E+01    1.82 um     1693 A      1984 A   
   3.25 MeV   2.236E+03  8.647E+01    1.93 um     1731 A      2049 A   
   3.50 MeV   2.316E+03  8.186E+01    2.04 um     1765 A      2109 A   
   3.75 MeV   2.394E+03  7.777E+01    2.14 um     1796 A      2164 A   
   4.00 MeV   2.469E+03  7.411E+01    2.23 um     1825 A      2215 A   
   4.50 MeV   2.612E+03  6.782E+01    2.42 um     1885 A      2308 A   
   5.00 MeV   2.747E+03  6.260E+01    2.60 um     1937 A      2390 A   
   5.50 MeV   2.876E+03  5.820E+01    2.78 um     1983 A      2464 A   
   6.00 MeV   2.999E+03  5.443E+01    2.94 um     2023 A      2530 A   
   6.50 MeV   3.116E+03  5.116E+01    3.10 um     2060 A      2590 A   
   7.00 MeV   3.226E+03  4.830E+01    3.26 um     2093 A      2645 A   
   8.00 MeV   3.431E+03  4.351E+01    3.55 um     2170 A      2743 A   
   9.00 MeV   3.615E+03  3.965E+01    3.83 um     2235 A      2828 A   
  10.00 MeV   3.778E+03  3.647E+01    4.10 um     2293 A      2903 A   
  11.00 MeV   3.923E+03  3.381E+01    4.35 um     2344 A      2969 A   
  12.00 MeV   4.050E+03  3.153E+01    4.60 um     2390 A      3030 A   
  13.00 MeV   4.162E+03  2.957E+01    4.84 um     2432 A      3085 A   
  14.00 MeV   4.260E+03  2.785E+01    5.08 um     2470 A      3136 A   
  15.00 MeV   4.345E+03  2.634E+01    5.31 um     2507 A      3183 A   
  16.00 MeV   4.420E+03  2.499E+01    5.53 um     2541 A      3227 A   
  17.00 MeV   4.485E+03  2.379E+01    5.76 um     2573 A      3269 A   
  18.00 MeV   4.541E+03  2.271E+01    5.98 um     2604 A      3309 A   
  20.00 MeV   4.634E+03  2.083E+01    6.41 um     2697 A      3382 A   
  22.50 MeV   4.721E+03  1.891E+01    6.94 um     2823 A      3466 A   
  25.00 MeV   4.786E+03  1.733E+01    7.46 um     2939 A      3542 A   
  27.50 MeV   4.837E+03  1.601E+01    7.98 um     3048 A      3613 A   
  30.00 MeV   4.877E+03  1.490E+01    8.49 um     3150 A      3679 A   
  32.50 MeV   4.909E+03  1.393E+01    9.00 um     3247 A      3741 A   
  35.00 MeV   4.935E+03  1.310E+01    9.51 um     3340 A      3801 A   
  37.50 MeV   4.956E+03  1.236E+01   10.01 um     3430 A      3858 A   
  40.00 MeV   4.972E+03  1.171E+01   10.51 um     3516 A      3913 A   
  45.00 MeV   4.993E+03  1.060E+01   11.51 um     3814 A      4016 A   
  50.00 MeV   5.001E+03  9.699E+00   12.51 um     4087 A      4114 A   
  55.00 MeV   4.998E+03  8.947E+00   13.51 um     4343 A      4207 A   
  60.00 MeV   4.987E+03  8.309E+00   14.51 um     4585 A      4296 A   
  65.00 MeV   4.970E+03  7.762E+00   15.51 um     4816 A      4383 A   
  70.00 MeV   4.947E+03  7.286E+00   16.52 um     5038 A      4467 A   
  80.00 MeV   4.889E+03  6.500E+00   18.55 um     5825 A      4629 A   
  90.00 MeV   4.821E+03  5.875E+00   20.60 um     6535 A      4785 A   
 100.00 MeV   4.744E+03  5.366E+00   22.69 um     7193 A      4938 A   
 110.00 MeV   4.619E+03  4.942E+00   24.82 um     7821 A      5089 A   
 120.00 MeV   4.521E+03  4.584E+00   27.01 um     8430 A      5240 A   
