 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in Helium (gas).txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 450.00 keV   1.998E+00  1.234E+00  131.43 um     9.11 um     9.60 um  
 500.00 keV   2.076E+00  1.161E+00  146.73 um     9.92 um    10.50 um  
 550.00 keV   2.158E+00  1.098E+00  161.97 um    10.67 um    11.37 um  
 600.00 keV   2.245E+00  1.043E+00  177.10 um    11.38 um    12.22 um  
 650.00 keV   2.336E+00  9.934E-01  192.07 um    12.04 um    13.03 um  
 700.00 keV   2.431E+00  9.492E-01  206.84 um    12.66 um    13.82 um  
 800.00 keV   2.625E+00  8.729E-01  235.68 um    14.09 um    15.31 um  
 900.00 keV   2.823E+00  8.095E-01  263.50 um    15.32 um    16.67 um  
   1.00 MeV   3.021E+00  7.558E-01  290.30 um    16.39 um    17.93 um  
   1.10 MeV   3.215E+00  7.096E-01  316.09 um    17.34 um    19.09 um  
   1.20 MeV   3.406E+00  6.694E-01  340.93 um    18.18 um    20.16 um  
   1.30 MeV   3.594E+00  6.341E-01  364.87 um    18.94 um    21.15 um  
   1.40 MeV   3.782E+00  6.027E-01  387.96 um    19.62 um    22.07 um  
   1.50 MeV   3.969E+00  5.747E-01  410.25 um    20.24 um    22.92 um  
   1.60 MeV   4.157E+00  5.494E-01  431.76 um    20.81 um    23.71 um  
   1.70 MeV   4.348E+00  5.266E-01  452.53 um    21.32 um    24.45 um  
   1.80 MeV   4.540E+00  5.058E-01  472.60 um    21.79 um    25.14 um  
   2.00 MeV   4.931E+00  4.692E-01  510.73 um    22.94 um    26.38 um  
   2.25 MeV   5.428E+00  4.311E-01  554.97 um    24.28 um    27.72 um  
   2.50 MeV   5.928E+00  3.993E-01  595.86 um    25.37 um    28.87 um  
   2.75 MeV   6.426E+00  3.723E-01  633.84 um    26.28 um    29.86 um  
   3.00 MeV   6.916E+00  3.491E-01  669.29 um    27.04 um    30.72 um  
   3.25 MeV   7.397E+00  3.289E-01  702.55 um    27.70 um    31.48 um  
   3.50 MeV   7.865E+00  3.111E-01  733.91 um    28.27 um    32.15 um  
   3.75 MeV   8.319E+00  2.953E-01  763.62 um    28.77 um    32.75 um  
   4.00 MeV   8.758E+00  2.812E-01  791.89 um    29.21 um    33.29 um  
   4.50 MeV   9.590E+00  2.571E-01  844.73 um    30.43 um    34.22 um  
   5.00 MeV   1.036E+01  2.371E-01  893.56 um    31.42 um    35.01 um  
   5.50 MeV   1.107E+01  2.202E-01  939.17 um    32.26 um    35.68 um  
   6.00 MeV   1.173E+01  2.058E-01  982.16 um    32.99 um    36.26 um  
   6.50 MeV   1.234E+01  1.933E-01    1.02 mm    33.62 um    36.77 um  
   7.00 MeV   1.290E+01  1.824E-01    1.06 mm    34.19 um    37.22 um  
   8.00 MeV   1.390E+01  1.641E-01    1.14 mm    35.92 um    38.01 um  
   9.00 MeV   1.476E+01  1.494E-01    1.20 mm    37.37 um    38.66 um  
  10.00 MeV   1.552E+01  1.373E-01    1.27 mm    38.62 um    39.22 um  
  11.00 MeV   1.618E+01  1.272E-01    1.33 mm    39.72 um    39.70 um  
  12.00 MeV   1.678E+01  1.186E-01    1.39 mm    40.71 um    40.13 um  
  13.00 MeV   1.731E+01  1.111E-01    1.45 mm    41.61 um    40.52 um  
  14.00 MeV   1.779E+01  1.046E-01    1.51 mm    42.44 um    40.87 um  
  15.00 MeV   1.822E+01  9.891E-02    1.56 mm    43.22 um    41.20 um  
  16.00 MeV   1.862E+01  9.383E-02    1.62 mm    43.94 um    41.49 um  
  17.00 MeV   1.898E+01  8.928E-02    1.67 mm    44.62 um    41.77 um  
  18.00 MeV   1.931E+01  8.518E-02    1.72 mm    45.27 um    42.03 um  
  20.00 MeV   1.988E+01  7.809E-02    1.82 mm    47.57 um    42.50 um  
  22.50 MeV   2.048E+01  7.084E-02    1.95 mm    50.75 um    43.02 um  
  25.00 MeV   2.095E+01  6.490E-02    2.07 mm    53.60 um    43.49 um  
  27.50 MeV   2.133E+01  5.994E-02    2.18 mm    56.19 um    43.91 um  
  30.00 MeV   2.163E+01  5.573E-02    2.30 mm    58.58 um    44.30 um  
  32.50 MeV   2.186E+01  5.211E-02    2.42 mm    60.83 um    44.66 um  
  35.00 MeV   2.203E+01  4.896E-02    2.53 mm    62.96 um    45.00 um  
  37.50 MeV   2.215E+01  4.620E-02    2.64 mm    64.99 um    45.32 um  
  40.00 MeV   2.223E+01  4.375E-02    2.75 mm    66.94 um    45.63 um  
  45.00 MeV   2.229E+01  3.959E-02    2.98 mm    74.13 um    46.20 um  
  50.00 MeV   2.223E+01  3.621E-02    3.20 mm    80.68 um    46.74 um  
  55.00 MeV   2.209E+01  3.338E-02    3.43 mm    86.79 um    47.25 um  
  60.00 MeV   2.190E+01  3.099E-02    3.65 mm    92.57 um    47.75 um  
  65.00 MeV   2.166E+01  2.894E-02    3.88 mm    98.13 um    48.22 um  
  70.00 MeV   2.139E+01  2.716E-02    4.12 mm   103.50 um    48.69 um  
  80.00 MeV   2.080E+01  2.422E-02    4.59 mm   123.34 um    49.61 um  
  90.00 MeV   2.017E+01  2.188E-02    5.08 mm   141.38 um    50.51 um  
 100.00 MeV   1.966E+01  1.998E-02    5.58 mm   158.23 um    51.42 um  
 110.00 MeV   1.905E+01  1.839E-02    6.10 mm   174.31 um    52.32 um  
 120.00 MeV   1.843E+01  1.706E-02    6.63 mm   189.97 um    53.25 um  
 130.00 MeV   1.788E+01  1.591E-02    7.18 mm   205.34 um    54.20 um  
 140.00 MeV   1.735E+01  1.492E-02    7.75 mm   220.50 um    55.16 um  
 150.00 MeV   1.685E+01  1.405E-02    8.33 mm   235.52 um    56.16 um  
 160.00 MeV   1.638E+01  1.328E-02    8.93 mm   250.45 um    57.18 um  
 170.00 MeV   1.593E+01  1.259E-02    9.55 mm   265.33 um    58.24 um  
 180.00 MeV   1.550E+01  1.198E-02   10.19 mm   280.20 um    59.33 um  
 200.00 MeV   1.471E+01  1.092E-02   11.51 mm   337.06 um    61.60 um  
 225.00 MeV   1.384E+01  9.851E-03   13.26 mm   418.36 um    64.65 um  
 250.00 MeV   1.307E+01  8.979E-03   15.12 mm   494.13 um    67.93 um  
 275.00 MeV   1.238E+01  8.256E-03   17.09 mm   566.96 um    71.45 um  
 300.00 MeV   1.177E+01  7.646E-03   19.16 mm   638.17 um    75.21 um  
 325.00 MeV   1.122E+01  7.124E-03   21.33 mm   708.52 um    79.22 um  
 350.00 MeV   1.071E+01  6.672E-03   23.61 mm   778.53 um    83.46 um  
 375.00 MeV   1.025E+01  6.277E-03   26.00 mm   848.52 um    87.95 um  
