 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron_in_Helium500Torr.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 375.00 keV   3.968E-01  4.846E-04    1.03 mm    55.53 um    66.16 um  
 400.00 keV   3.841E-01  4.582E-04    1.09 mm    56.37 um    66.59 um  
 450.00 keV   3.608E-01  4.137E-04    1.23 mm    59.71 um    67.49 um  
 500.00 keV   3.400E-01  3.775E-04    1.37 mm    63.25 um    68.45 um  
 550.00 keV   3.214E-01  3.474E-04    1.52 mm    67.01 um    69.47 um  
 600.00 keV   3.048E-01  3.220E-04    1.68 mm    70.96 um    70.56 um  
 650.00 keV   2.899E-01  3.002E-04    1.85 mm    75.10 um    71.73 um  
 700.00 keV   2.764E-01  2.814E-04    2.03 mm    79.42 um    72.99 um  
 800.00 keV   2.531E-01  2.503E-04    2.40 mm    96.25 um    75.78 um  
 900.00 keV   2.335E-01  2.257E-04    2.81 mm   112.98 um    78.97 um  
   1.00 MeV   2.170E-01  2.057E-04    3.26 mm   129.82 um    82.59 um  
   1.10 MeV   2.028E-01  1.891E-04    3.73 mm   146.86 um    86.64 um  
   1.20 MeV   1.904E-01  1.751E-04    4.24 mm   164.16 um    91.15 um  
   1.30 MeV   1.795E-01  1.631E-04    4.78 mm   181.75 um    96.12 um  
   1.40 MeV   1.699E-01  1.528E-04    5.36 mm   199.65 um   101.55 um  
   1.50 MeV   1.614E-01  1.437E-04    5.96 mm   217.87 um   107.43 um  
   1.60 MeV   1.537E-01  1.357E-04    6.59 mm   236.41 um   113.77 um  
   1.70 MeV   1.467E-01  1.286E-04    7.26 mm   255.27 um   120.56 um  
   1.80 MeV   1.405E-01  1.222E-04    7.95 mm   274.46 um   127.78 um  
   2.00 MeV   1.294E-01  1.113E-04    9.44 mm   347.01 um   143.52 um  
   2.25 MeV   1.191E-01  1.002E-04   11.45 mm   450.79 um   165.43 um  
