 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Helium (gas).txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 450.00 keV   2.039E+00  1.122E+00  133.84 um     9.04 um     9.56 um  
 500.00 keV   2.114E+00  1.056E+00  149.47 um     9.85 um    10.46 um  
 550.00 keV   2.196E+00  9.974E-01  165.03 um    10.60 um    11.33 um  
 600.00 keV   2.284E+00  9.461E-01  180.46 um    11.30 um    12.16 um  
 650.00 keV   2.376E+00  9.006E-01  195.69 um    11.96 um    12.97 um  
 700.00 keV   2.472E+00  8.599E-01  210.69 um    12.57 um    13.75 um  
 800.00 keV   2.669E+00  7.899E-01  239.91 um    13.98 um    15.20 um  
 900.00 keV   2.867E+00  7.318E-01  268.05 um    15.19 um    16.54 um  
   1.00 MeV   3.061E+00  6.826E-01  295.10 um    16.25 um    17.77 um  
   1.10 MeV   3.248E+00  6.404E-01  321.14 um    17.18 um    18.90 um  
   1.20 MeV   3.430E+00  6.038E-01  346.23 um    18.01 um    19.95 um  
   1.30 MeV   3.605E+00  5.716E-01  370.45 um    18.76 um    20.91 um  
   1.40 MeV   3.778E+00  5.430E-01  393.86 um    19.43 um    21.81 um  
   1.50 MeV   3.948E+00  5.175E-01  416.51 um    20.04 um    22.64 um  
   1.60 MeV   4.117E+00  4.946E-01  438.44 um    20.60 um    23.42 um  
   1.70 MeV   4.287E+00  4.738E-01  459.69 um    21.12 um    24.15 um  
   1.80 MeV   4.456E+00  4.549E-01  480.28 um    21.59 um    24.83 um  
   2.00 MeV   4.797E+00  4.218E-01  519.61 um    22.77 um    26.06 um  
   2.25 MeV   5.224E+00  3.873E-01  565.61 um    24.17 um    27.41 um  
   2.50 MeV   5.650E+00  3.585E-01  608.50 um    25.33 um    28.57 um  
   2.75 MeV   6.071E+00  3.341E-01  648.66 um    26.30 um    29.58 um  
   3.00 MeV   6.486E+00  3.131E-01  686.43 um    27.13 um    30.48 um  
   3.25 MeV   6.893E+00  2.949E-01  722.08 um    27.85 um    31.27 um  
   3.50 MeV   7.291E+00  2.788E-01  755.88 um    28.48 um    31.98 um  
   3.75 MeV   7.681E+00  2.646E-01  788.04 um    29.03 um    32.61 um  
   4.00 MeV   8.061E+00  2.519E-01  818.73 um    29.53 um    33.19 um  
   4.50 MeV   8.795E+00  2.301E-01  876.30 um    30.92 um    34.19 um  
   5.00 MeV   9.492E+00  2.121E-01  929.60 um    32.06 um    35.03 um  
   5.50 MeV   1.015E+01  1.970E-01  979.39 um    33.01 um    35.76 um  
   6.00 MeV   1.078E+01  1.840E-01    1.03 mm    33.83 um    36.39 um  
   6.50 MeV   1.138E+01  1.728E-01    1.07 mm    34.55 um    36.94 um  
   7.00 MeV   1.194E+01  1.630E-01    1.11 mm    35.18 um    37.43 um  
   8.00 MeV   1.298E+01  1.466E-01    1.19 mm    37.11 um    38.27 um  
   9.00 MeV   1.391E+01  1.334E-01    1.27 mm    38.69 um    38.97 um  
  10.00 MeV   1.474E+01  1.226E-01    1.33 mm    40.03 um    39.56 um  
  11.00 MeV   1.549E+01  1.135E-01    1.40 mm    41.19 um    40.07 um  
  12.00 MeV   1.616E+01  1.058E-01    1.46 mm    42.23 um    40.52 um  
  13.00 MeV   1.676E+01  9.913E-02    1.52 mm    43.16 um    40.92 um  
  14.00 MeV   1.729E+01  9.331E-02    1.58 mm    44.00 um    41.28 um  
  15.00 MeV   1.778E+01  8.819E-02    1.64 mm    44.79 um    41.61 um  
  16.00 MeV   1.821E+01  8.364E-02    1.69 mm    45.52 um    41.91 um  
  17.00 MeV   1.860E+01  7.957E-02    1.75 mm    46.21 um    42.19 um  
  18.00 MeV   1.895E+01  7.591E-02    1.80 mm    46.85 um    42.45 um  
  20.00 MeV   1.955E+01  6.957E-02    1.90 mm    49.16 um    42.93 um  
  22.50 MeV   2.012E+01  6.309E-02    2.03 mm    52.35 um    43.45 um  
  25.00 MeV   2.055E+01  5.779E-02    2.15 mm    55.21 um    43.91 um  
  27.50 MeV   2.086E+01  5.336E-02    2.27 mm    57.83 um    44.34 um  
  30.00 MeV   2.108E+01  4.960E-02    2.39 mm    60.27 um    44.72 um  
  32.50 MeV   2.121E+01  4.637E-02    2.51 mm    62.58 um    45.09 um  
  35.00 MeV   2.129E+01  4.357E-02    2.63 mm    64.79 um    45.43 um  
  37.50 MeV   2.131E+01  4.110E-02    2.74 mm    66.91 um    45.75 um  
  40.00 MeV   2.129E+01  3.892E-02    2.86 mm    68.97 um    46.06 um  
  45.00 MeV   2.115E+01  3.521E-02    3.10 mm    76.63 um    46.65 um  
  50.00 MeV   2.093E+01  3.219E-02    3.33 mm    83.70 um    47.20 um  
  55.00 MeV   2.064E+01  2.968E-02    3.57 mm    90.38 um    47.74 um  
  60.00 MeV   2.031E+01  2.755E-02    3.82 mm    96.78 um    48.25 um  
  65.00 MeV   1.997E+01  2.572E-02    4.07 mm   102.97 um    48.76 um  
  70.00 MeV   1.961E+01  2.414E-02    4.32 mm   109.02 um    49.26 um  
  80.00 MeV   1.888E+01  2.152E-02    4.84 mm   131.50 um    50.26 um  
  90.00 MeV   1.817E+01  1.944E-02    5.38 mm   152.08 um    51.26 um  
 100.00 MeV   1.764E+01  1.774E-02    5.93 mm   171.38 um    52.27 um  
 110.00 MeV   1.697E+01  1.634E-02    6.51 mm   189.89 um    53.30 um  
 120.00 MeV   1.640E+01  1.515E-02    7.11 mm   207.97 um    54.36 um  
 130.00 MeV   1.588E+01  1.413E-02    7.73 mm   225.70 um    55.45 um  
 140.00 MeV   1.539E+01  1.324E-02    8.37 mm   243.17 um    56.57 um  
 150.00 MeV   1.494E+01  1.247E-02    9.03 mm   260.46 um    57.73 um  
 160.00 MeV   1.451E+01  1.179E-02    9.71 mm   277.62 um    58.93 um  
 170.00 MeV   1.412E+01  1.118E-02   10.41 mm   294.69 um    60.17 um  
 180.00 MeV   1.375E+01  1.063E-02   11.12 mm   311.70 um    61.44 um  
 200.00 MeV   1.308E+01  9.692E-03   12.61 mm   376.38 um    64.12 um  
 225.00 MeV   1.234E+01  8.739E-03   14.58 mm   468.09 um    67.70 um  
 250.00 MeV   1.170E+01  7.965E-03   16.66 mm   552.87 um    71.54 um  
 275.00 MeV   1.114E+01  7.323E-03   18.85 mm   633.73 um    75.63 um  
 300.00 MeV   1.063E+01  6.781E-03   21.15 mm   712.23 um    79.97 um  
 325.00 MeV   1.017E+01  6.318E-03   23.55 mm   789.32 um    84.56 um  
 350.00 MeV   9.745E+00  5.916E-03   26.06 mm   865.59 um    89.39 um  
 375.00 MeV   9.357E+00  5.565E-03   28.68 mm   941.49 um    94.46 um  
 400.00 MeV   8.997E+00  5.256E-03   31.40 mm     1.02 mm    99.77 um  
 450.00 MeV   8.347E+00  4.733E-03   37.17 mm     1.30 mm   111.09 um  
 500.00 MeV   7.774E+00  4.310E-03   43.38 mm     1.57 mm   123.35 um  
 550.00 MeV   7.262E+00  3.959E-03   50.03 mm     1.83 mm   136.55 um  
 600.00 MeV   6.803E+00  3.663E-03   57.14 mm     2.09 mm   150.70 um  
 650.00 MeV   6.390E+00  3.410E-03   64.73 mm     2.35 mm   165.82 um  
 700.00 MeV   6.017E+00  3.192E-03   72.79 mm     2.61 mm   181.92 um  
 800.00 MeV   5.378E+00  2.832E-03   90.37 mm     3.61 mm   217.15 um  
 900.00 MeV   4.861E+00  2.548E-03  109.92 mm     4.55 mm   256.43 um  
   1.00 GeV   4.448E+00  2.318E-03  131.43 mm     5.47 mm   299.72 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  2.2195E+00                keV / (ug/cm2) 
  2.2195E+00                MeV / (mg/cm2) 
  2.2195E+03                keV / (mg/cm2) 
  1.1057E+01                 eV / (1E15 atoms/cm2)
  1.1243E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
